stock_name,scientific_name,common_name,region,tsn,fishery_type
BSQLOBSTERNCH,Cervimunida johni,Yellow squat lobster,South America,-992,Invertebrate
CABEZORECOAST,Scorpaenichthys marmoratus,Cabezon,US West Coast,692068,Other Marine
CALSCORPSCAL,Scorpaena guttata,California scorpionfish,US West Coast,166827,Other Marine
CAPENOR,Mallotus villosus,Capelin,Europe non EU,162035,Forage Fish
CHERRCHVX,Clupea bentincki,Chilean herring,South America,615818,Forage Fish
CHSQUIDSA,Loligo reynaudii,Cape Hope squid,Southern Africa,557249,Invertebrate
CMACKPJPN,Scomber japonicus,Chub mackerel,Japan,172412,Forage Fish
CMACKTSST,Scomber japonicus,Chub mackerel,Japan,172412,Forage Fish
COBGM,Rachycentron canadum,Cobia,US Southeast and Gulf,168566,Other Marine
COD1F.XIV,Gadus morhua,Atlantic cod,Europe non EU,164712,Gadids
COD1IN,Gadus morhua,Atlantic cod,Canada East Coast,164712,Gadids
COD2J3KL,Gadus morhua,Atlantic cod,Canada East Coast,164712,Gadids
COD3M,Gadus morhua,Atlantic cod,Canada East Coast,164712,Gadids
CODIIIaW.IV.VIId,Gadus morhua,Atlantic cod,European Union,164712,Gadids
CODNEARNCW,Gadus morhua,Atlantic cod,Europe non EU,164712,Gadids
CODVIIek,Gadus morhua,Atlantic cod,European Union,164712,Gadids
CSALMANDREAR,Oncorhynchus keta,Chum salmon,US Alaska,161976,Pacific Salmon
CSALMANVIKR,Oncorhynchus keta,Chum salmon,US Alaska,161976,Pacific Salmon
CSALMHOODC,Oncorhynchus keta,Chum salmon,US Alaska,161976,Pacific Salmon
CSALMISCFPM,Oncorhynchus keta,Chum salmon,Canada West Coast,161976,Pacific Salmon
CSALMKTRNS,Oncorhynchus keta,Chum salmon,US Alaska,161976,Pacific Salmon
CSALMNSR,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSALMSKAGR,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSALMSSOUNDFR,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSALMSSOUNDSR,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSALMSSOUNDWR,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSALMSSR,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSALMWILLB,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSALMYUKONRFR,Oncorhynchus keta,Chum salmon,US West Coast,161976,Pacific Salmon
CSARDCSCH,Strangomera bentincki,Chilean sardine,South America,551247,Forage Fish
CTRACSA,Trachurus capensis,Cape horse mackerel,Southern Africa,168598,Forage Fish
CUSKVa.XIV,Brosme brosme,Tusk,European Union,164740,Gadids
DEEPCHAKESA,Merluccius paradoxus,Deep water cape hake,Southern Africa,164796,Gadids
DOYSFS,Ostrea chilensis,Dredge oyster,New Zealand,-970,Invertebrate
EBASSIVbc.VII,Dicentrarchus labrax,European seabass,European Union,170317,Other Marine
EBASSVIIIab,Dicentrarchus labrax,European seabass,European Union,170317,Other Marine
GHALBSAI,Reinhardtius hippoglossoides,Greenland halibut,US Alaska,172930,Flatfish
GKCRABAIES,Lithodes aequispinus,Golden king crab,US Alaska,660179,Invertebrate
GKCRABAIWS,Lithodes aequispinus,Golden king crab,US Alaska,660179,Invertebrate
GOLDREDNEAR,Sebastes norvegicus,Golden redfish,Europe non EU,166781,Rockfish
GOLDREDV.VI.XII.XIV,Sebastes norvegicus,Golden redfish,Europe non EU,166781,Rockfish
GRAMBERGM,Seriola dumerili,Greater amberjack,US Southeast and Gulf,168689,Other Marine
GRNSTROCKPCOAST,Sebastes elongatus,Greenstriped rockfish,US West Coast,166717,Rockfish
GRSNAPGM,Lutjanus griseus,Gray snapper,US Southeast and Gulf,168848,Other Marine
GSTRGZRSTA7,Kathetostoma giganteum,Giant stargazer,New Zealand,171064,Other Marine
HADIS,Melanogrammus aeglefinus,Haddock,European Union,164744,Gadids
HADNS.IIIa.VIa,Melanogrammus aeglefinus,Haddock,European Union,164744,Gadids
HAKESPPSAF,Merluccius spp,Hake spp,Southern Africa,-963,Gadids
HERR2224IIIa,Clupea harengus,Herring,European Union,161722,Forage Fish
HERR2529.32,Clupea harengus,Herring,European Union,161722,Forage Fish
HERR30.31,Clupea harengus,Herring,European Union,161722,Forage Fish
HERRNORSS,Clupea harengus,Herring,Europe non EU,161722,Forage Fish
HERRNS.IIIa.VIId,Clupea harengus,Herring,European Union,161722,Forage Fish
HERRPWS,Clupea pallasii,Pacific herring,US Alaska,551209,Forage Fish
HERRSIRS,Clupea harengus,Herring,European Union,161722,Forage Fish
HMACKIIa.IVa.Vb.VIa.VII.VIII,Trachurus trachurus,Horse mackerel,European Union,168588,Forage Fish
HMACKIXa,Trachurus trachurus,Horse mackerel,European Union,168588,Forage Fish
JANCHOPJPN,Engraulis japonicus,Japanese anchovy,Japan,161835,Forage Fish
JANCHOSETO,Engraulis japonicus,Japanese anchovy,Japan,161835,Forage Fish
JANCHOTSST,Engraulis japonicus,Japanese anchovy,Japan,161835,Forage Fish
JMACKPJPN,Trachurus japonicus,Japanese jack mackerel,Japan,642012,Forage Fish
JMACKTSST,Trachurus japonicus,Japanese jack mackerel,Japan,642012,Forage Fish
JPUFFIMKB,Takifugu rubripes,Japanese pufferfish,Japan,646410,Other Marine
KMACKGM,Scomberomorus cavalla,King mackerel,US Southeast and Gulf,172435,Tuna and Marlin
KMACKSATLC,Scomberomorus cavalla,King mackerel,US Southeast and Gulf,172435,Tuna and Marlin
KMFLOUNBSAI,Atheresthes evermanni,Kamchatka flounder,US Alaska,172861,Flatfish
LINGVa,Molva molva,Ling,Europe non EU,164760,Gadids
MACK5YCHATT,Scomber scombrus,Atlantic mackerel,US East Coast,172414,Forage Fish
MACKNWATLSA3.4,Scomber scombrus,Mackerel,Canada East Coast,172414,Forage Fish
MANATLAN,Brevoortia tyrannus,Atlantic menhaden,US East Coast,161732,Forage Fish
MEGVII.VIIIabd,Lepidorhombus whiffiagonis,Megrim,European Union,172835,Flatfish
MENATLAN,Brevoortia tyrannus,Atlantic menhaden,US East Coast,161732,Forage Fish
