stock_name,old_min_year,old_max_year,original_driver,regime_changes,change,note
NZLINGLIN5.6,1972,2007,environment,3,,
NZLINGLIN72,1972,2007,environment,2,,
NZLINGLIN7WC,1972,2008,environment,1,,
NZLINGWSE,1968,2007,environment,2,,
NZSNAPNZ8,1931,2005,environment,0,,
PATGRENADIERSARG,1983,2006,environment,2,,
PCODBSAI,1964,2008,environment,0,split,"now PCODAI, PCODBS"
PCODGA,1964,2008,environment,1,,
PERCHEBSAI,1974,2009,environment,3,,
PHAKEPCOAST,1966,2008,environment,1,,
PLAIC7d,1979,2006,environment,0,,
PLAICCELT,1976,2006,edge case,3,,
PLAICECHW,1975,2006,environment,2,,
PLAICIIIa,1976,2006,environment,1,redefined,now PLAICNS
PLAICIS,1962,2006,environment,4,,
PLAICNS,1956,2006,environment,2,,
POLL4X5YZ,1980,2006,environment,2,deprecated,no recruitment info in old version
POLLFAPL,1958,2006,environment,4,,
POLLNEAR,1957,2006,environment,2,,
POLLNS.VI.IIIa,1964,2006,environment,1,,
POPERCHGA,1959,2010,environment,1,,
PSOLENPCOAST,1910,2005,environment,5,merged,now PSOLEPCOAST
PTOOTHFISHMI,1975,2010,environment,2,,
REXSOLEGA,1979,2008,environment,2,,
REYEROCKBSAI,1974,2009,environment,2,,
RSNAPEGM,1872,2003,environment,1,deprecated,no information
RSNAPWGM,1880,2003,environment,2,deprecated,no information
RSOLEHSTR,1945,2001,environment,5,,
SABLEFEBSAIGA,1956,2008,environment,1,,
SARDPVIIIc.IXa,1978,2007,environment,2,,
SBELLYROCKPCOAST,1950,2005,environment,0,,
SBWHITACIR,1979,2006,environment,1,,
SBWHITARGS,1985,2007,environment,2,,
SEELNS,1983,2007,environment,0,split,"now SEELNSSA1, SEELNSSA2, SEELNSSA3, SEELNSSA4"
SFLOUNMATLC,1940,2007,environment,1,,
SILVERFISHSE,1978,2006,environment,1,,
SNOWGROUPSATLC,1961,2002,environment,3,deprecated,no information
SOLECS,1970,2006,environment,1,,
SOLEIIIa,1982,2007,environment,2,deprecated,no information
SOLEIS,1968,2006,environment,1,,
SOLENS,1956,2006,environment,0,,
SOLEVIId,1981,2006,environment,2,,
SOLEVIII,1982,2006,environment,2,deprecated,no information
SOUTHHAKESA,1975,2007,environment,2,,
STFLOUNNPCOAST,1970,2005,environment,0,,
STFLOUNSPCOAST,1970,2005,environment,1,,
SWHITSE,1945,2007,environment,0,,
SWORDNATL,1978,2007,environment,4,deprecated,no information
TILESATLC,1961,2002,environment,1,,
TREVALLYTRE7,1944,2005,environment,5,,
VSNAPGM,1981,2004,environment,0,deprecated,no information
VSNAPSATLC,1946,2008,environment,0,,
WAREHOUWSE,1984,2006,environment,1,,
WHITVIIek,1982,2007,environment,3,redefined,now WHITVIIbce.k
WINFLOUN5Z,1982,2007,environment,4,,
WITFLOUN5Y,1982,2008,environment,1,,
WPOLLEBS,1963,2008,environment,3,,
YELLCCODGOM,1935,2008,environment,1,,
YELLGB,1935,2008,environment,3,,
YFINATL,1970,2006,environment,2,deprecated,no information
YSOLEBSAI,1959,2008,spawning biomass,,,
YTROCKNPCOAST,1967,2005,environment,2,,
AMPL3LNO,1955,2007,spawning biomass,,,
ARFLOUNDGA,1958,2010,spawning biomass,,,
ARGHAKENARG,1985,2007,spawning biomass,,,
ATBTUNAWATL,1969,2007,spawning biomass,,,
BLUEFISHATLC,1981,2007,spawning biomass,,,
BOCACCSPCOAST,1951,2006,spawning biomass,,,
BTSHRIMPNAUST,1970,2006,spawning biomass,,,
COD3Pn4RS,1964,2007,spawning biomass,,,
COD5Zjm,1978,2003,spawning biomass,,,
CODCOASTNOR,1982,2006,spawning biomass,,,
CODKAT,1970,2006,spawning biomass,,,
CODVIa,1977,2006,spawning biomass,,,
CROCKPCOAST,1916,2009,spawning biomass,,,
GHAL23KLMNO,1960,2006,spawning biomass,,,
GTPRAWNNAUST,1970,2006,spawning biomass,,,
HAKENRTN,1977,2007,spawning biomass,,,
HAKESOTH,1982,2007,spawning biomass,,,
HERR2532,1973,2006,spawning biomass,,redefined,now HERR2529.32
HOKIWNZ,1972,2007,spawning biomass,,,
LOBSTERSNE,1981,2007,spawning biomass,,,
LSTHORNHPCOAST,1962,2005,spawning biomass,,,
NZLINGLIN6b,1980,2006,spawning biomass,,,
RPORGYSATLC,1972,2004,spawning biomass,,deprecated,no recruitment info in old version
SABLEFPCOAST,1900,2007,spawning biomass,,,
