stockid,tsn,scientificname,commonname,areaid
BHEADSHARATL,160502,Sphyrna tiburo,Bonnethead shark,USA-NMFS-ATL
BIGEYEATL,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL
BIGEYECWPAC,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-CWPAC
BIGEYEEPAC,172428,Thunnus obesus,Bigeye tuna,multinational-IATTC-EPAC
BIGEYEIO,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO
BIGHTREDSE,622143,Centroberyx gerrardi,Bight redfish,Australia-AFMA-SE
BIGSKA3CD,160848,Raja binoculata,Big skate,Canada-DFO-WCVANI
BIGSKA4B,160848,Raja binoculata,Big skate,Canada-DFO-SOG
BIGSKA5AB,160848,Raja binoculata,Big skate,Canada-DFO-5AB
BIGSKA5CDE,160848,Raja binoculata,Big skate,Canada-DFO-HS
BJMACKXa2,168593,Trachurus picturatus,Blue jack mackerel,multinational-ICES-Xa2
BKCDLFENI,168298,Epigonus telescopus,Black cardinalfish,New Zealand-MFish-ENI
BKINGCRABPI,97936,Paralithodes platypus,Blue king crab,USA-NMFS-PI
BKINGCRABSMI,97936,Paralithodes platypus,Blue king crab,USA-NMFS-SMI
BKSFNEATL,172389,Aphanopus carbo,Black scabbardfish,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
BLACKGROUPERGMSATL,167760,Mycteroperca bonaci,Black grouper,USA-NMFS-GMSATL
BLACKOREOPR,625296,Allocyttus niger,Black oreo,New Zealand-MFish-PR
BLACKOREOWECR,625296,Allocyttus niger,Black oreo,New Zealand-MFish-WECR
BLACKROCKCAL,166727,Sebastes melanops,Black rockfish,USA-NMFS-CAL
BLACKROCKNPCOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-NPCOAST
BLACKROCKORECOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-ORECOAST
BLACKROCKSPCOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-SPCOAST
BLACKROCKWASH,166727,Sebastes melanops,Black rockfish,USA-NMFS-WASH
BLINGI-II-IIIa-IVa-VIII-IX-XII,164761,Molva dypterygia,Blue ling,multinational-ICES-I-II-IIIa-IVa-VIII-IX-XII
BLINGVa-XIV,164761,Molva dypterygia,Blue ling,multinational-ICES-Va-XIV
BLINGVb-VI-VII,164761,Molva dypterygia,Blue ling,multinational-ICES-Vb-VI-VII
BLKMARLINIO,768125,Istiompax indica,Black marlin,multinational-IOTC-IO
BLRAYIVa-VI,160880,Raja brachyura,Blonde ray,multinational-ICES-IVa-VI
BLRAYIVc-VIId,160880,Raja brachyura,Blonde ray,multinational-ICES-IVc-VIId
BLRAYIXa,160880,Raja brachyura,Blonde ray,multinational-ICES-IXa
BLRAYVIIafg,160880,Raja brachyura,Blonde ray,multinational-ICES-VIIafg
BLRAYVIIe,160880,Raja brachyura,Blonde ray,multinational-ICES-VIIe
BLSHARNPAC,160424,Prionace glauca,Blue shark,multinational-ISC-NPAC
BLTILESATLC,168543,Caulolatilus microps,Blueline tilefish,USA-NMFS-SATLC
BLUEFISHATLC,168559,Pomatomus saltatrix,Bluefish,USA-NMFS-ATLC
BLUEROCKCAL,166730,Sebastes mystinus,Blue rockfish,USA-NMFS-CAL
BMACKECS,172415,Scomber australasicus,Spotted mackerel,Japan-FAJ-ECS
BMACKPJPN,172415,Scomber australasicus,Spotted mackerel,Japan-FAJ-PJPN
BMARLINATL,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL
BMARLINIO,172497,Makaira mazara,Indo Pacific blue marlin,multinational-IOTC-IO
BMARLINPAC,172491,Makaira nigricans,Blue marlin,multinational-ISC-PAC
BMDOGVIII-IXa,160034,Galeus melastomus,Blackmouth dogfish,multinational-ICES-VIII-IXa
BMDOGVI-VII,160034,Galeus melastomus,Blackmouth dogfish,multinational-ICES-VI-VII
BNKROCKCAL,166761,Sebastes rufus,Bank rockfish,USA-NMFS-CAL
BNOSESHARATL,160304,Carcharhinus acronotus,Blacknose shark,USA-NMFS-ATL
BNSNZ,172514,Hyperoglyphe antarctica,Bluenose,New Zealand-MFish-NZ
BOARVI-VIII,166320,Capros aper,Boarfish,multinational-ICES-VI-VIII
BOCACCBCW,166733,Sebastes paucispinis,Bocaccio,Canada-DFO-BCW
BOCACCSPCOAST,166733,Sebastes paucispinis,Bocaccio,USA-NMFS-SPCOAST
BONGACWAGAB-COD,551295,Ethmalosa fimbriata,Bonga,multinational-FAO-CWAGAB-COD
BONGANWA,551295,Ethmalosa fimbriata,Bonga,multinational-FAO-NWA
BRILL2232,172749,Scophthalmus rhombus,Brill,multinational-ICES-22-32
BRILLIIIa-IV-VIIde,172749,Scophthalmus rhombus,Brill,multinational-ICES-IIIa-IV-VIIde
BRMSOJ,647939,Dentex tumifrons,Yellow sea bream,Japan-FAJ-SOJ
BRMSPPCWACIV-BEN,-985,Dentex spp,Seabream,multinational-FAO-CWACIV-BEN
BRMSPPCWAGAB-AGO,-985,Dentex spp,Seabream,multinational-FAO-CWAGAB-AGO
BRMSPPCWAGIN-LBR,-985,Dentex spp,Seabream,multinational-FAO-CWAGIN-LBR
BRNROCKPCOAST,166708,Sebastes auriculatus,Brown rockfish,USA-NMFS-PCOAST
BRNSHRIMPGM,551570,Farfantepenaeus aztecus,Brown shrimp,USA-NMFS-GM
BSBASSMATLC,167687,Centropristis striata,Black sea bass,USA-NMFS-MATLC
BSBASSSATL,167687,Centropristis striata,Black sea bass,USA-NMFS-SATL
BSCRAPERSOJECS,646253,Thamnaconus modestus,Black scraper,Japan-FAJ-SOJECS
BSKAT5YZSNE,564139,Dipturus laevis,Barndoor skate,USA-NMFS-5YZSNE
BSKATCANATL,564139,Dipturus laevis,Barndoor skate,Canada-DFO-ATL
BSKSHARNEATL,159907,Cetorhinus maximus,Basking shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
BSQLOBSTERCH,-992,Cervimunida johni,Yellow squat lobster,Chile-SUBPESCA-CH
BSQLOBSTERCSCH,-992,Cervimunida johni,Yellow squat lobster,Chile-SUBPESCA-CH-CS
BSQLOBSTERNCH,-992,Cervimunida johni,Yellow squat lobster,Chile-SUBPESCA-CH-N
BTIPSHARATL,160318,Carcharhinus limbatus,Blacktip shark,USA-NMFS-ATL
BTIPSHARGM,160318,Carcharhinus limbatus,Blacktip shark,USA-NMFS-GM
BTSHRIMPNAUST,95625,Penaeus esculentus,Brown tiger shrimp,Australia-AFMA-NAUST
BUTTERGOMCHATT,172567,Peprilus triacanthus,Atlantic butterfish,USA-NMFS-5YCHATT
BWHITMEDGSA1,164774,Micromesistius poutassou,Blue whiting,multinational-GFCM-GSA1
BWHITMEDGSA6,164774,Micromesistius poutassou,Blue whiting,multinational-GFCM-GSA6
BWHITMEDGSA9,164774,Micromesistius poutassou,Blue whiting,multinational-GFCM-GSA9
BWHITNEA,164774,Micromesistius poutassou,Blue whiting,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
BZCRABSOJ,-965,Chionoecetes japonicus,Beni zuwai crab,Japan-FAJ-SOJ
CABEZNCAL,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-NCAL
CABEZORECOAST,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-ORECOAST
CABEZSCAL,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-SCAL
CABEZWASH,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-WASH
CALSCORPSCAL,166827,Scorpaena guttata,California scorpionfish,USA-NMFS-SCAL
CAPE2J3KL,162035,Mallotus villosus,Capelin,Canada-DFO-2J3KL
CAPE4RST,162035,Mallotus villosus,Capelin,Canada-DFO-4RST
CAPEIIa-V-XIV,162035,Mallotus villosus,Capelin,multinational-ICES-IIa-V-XIV
CAPENOR,162035,Mallotus villosus,Capelin,multinational-ICES-I
CATCWAGAB,-987,Arius spp,Catfish,multinational-FAO-CWAGAB
CATCWAGIN-LBR,-987,Arius spp,Catfish,multinational-FAO-CWAGIN-LBR
CHAKESA,164798,Merluccius capensis,Shallow water cape hake,South Africa-DETMCM-SA
CHERRCHVX,615818,Clupea bentincki,Chilean herring,Chile-SUBPESCA-CH-CS
CHILISPCOAST,166722,Sebastes goodei,Chilipepper,USA-NMFS-SPCOAST
CHMACKCWAGAB-AGO,168595,Trachurus trecae,Cunene horse mackerel,multinational-FAO-CWAGAB-AGO
CHMACKCWAGNB-LBR,168595,Trachurus trecae,Cunene horse mackerel,multinational-FAO-CWAGNB-LBR
CHMACKNWA,168595,Trachurus trecae,Cunene horse mackerel,multinational-FAO-NWA
CHROCKCPCOAST,166731,Sebastes nebulosus,China rockfish,USA-NMFS-CPCOAST
CHROCKNPCOAST,166731,Sebastes nebulosus,China rockfish,USA-NMFS-NPCOAST
CHROCKSPCOAST,166731,Sebastes nebulosus,China rockfish,USA-NMFS-SPCOAST
CHSQUIDSA,557249,Loligo reynaudii,Cape Hope squid,South Africa-DETMCM-SA
CHTRACCH,168597,Trachurus murphyi,Chilean jack mackerel,multinational-SPRFMO-CH
CJOBMHI,168916,Pristipomoides filamentosus,Crimson jobfish,USA-NMFS-MHI
CJOBOKWI,168916,Pristipomoides filamentosus,Crimson jobfish,Japan-FAJ-OKWI
CKRAYIIIa-IV,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-IIIa-IV
CKRAYIXa,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-IXa
CKRAYVIIIc,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-VIIIc
CKRAYVI-VII,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-VI-VII
CMACKNWA,172412,Scomber japonicus,Chub mackerel,multinational-FAO-NWA
CMACKPCOAST,172412,Scomber japonicus,Pacific chub mackerel,USA-NMFS-PCOAST
CMACKPJPN,172412,Scomber japonicus,Chub mackerel,Japan-FAJ-PJPN
CMACKTSST,172412,Scomber japonicus,Chub mackerel,Japan-FAJ-TSST
COBGM,168566,Rachycentron canadum,Cobia,USA-NMFS-GM
COBSATLC,168566,Rachycentron canadum,Cobia,USA-NMFS-SATLC
COD1ABCDE,164712,Gadus morhua,Atlantic cod,multinational-ICES-1ABCDE
COD1F-XIV,164712,Gadus morhua,Atlantic cod,multinational-ICES-1F-XIV
COD1IN,164712,Gadus morhua,Atlantic cod,multinational-ICES-1IN
COD2J3KL,164712,Gadus morhua,Atlantic cod,Canada-DFO-2J3KL
COD3M,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3M
COD3NO,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3NO
COD3Pn4RS,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Pn4RS
COD3Ps,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Ps
COD4TVn,164712,Gadus morhua,Atlantic cod,Canada-DFO-4T
COD4VsW,164712,Gadus morhua,Atlantic cod,Canada-DFO-4VsW
COD4X,164712,Gadus morhua,Atlantic cod,Canada-DFO-4X
COD4X5Yb,164712,Gadus morhua,Atlantic cod,Canada-DFO-4X5Yb
COD5Zjm,164712,Gadus morhua,Atlantic cod,multinational-TRAC-5Zjm
CODBA2224,164712,Gadus morhua,Atlantic cod,multinational-ICES-22-24
CODBA2532,164712,Gadus morhua,Atlantic cod,multinational-ICES-25-32
CODFABNK,164712,Gadus morhua,Atlantic cod,multinational-ICES-Vb2
CODFAPL,164712,Gadus morhua,Atlantic cod,multinational-ICES-Vb1
CODGB,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Z
CODGOM,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Y
CODICE,164712,Gadus morhua,Atlantic cod,multinational-ICES-Va
CODIIIaW-IV-VIId,164712,Gadus morhua,Atlantic cod,multinational-ICES-IIIaW-IV-VIId
CODIS,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIIa
CODKAT,164712,Gadus morhua,Atlantic cod,multinational-ICES-21
CODNEAR,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II
CODNEARNCW,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II-NCW
CODVIa,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIa
CODVIb,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIb
CODVIIek,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIIe-k
COWCODSCAL,166754,Sebastes levis,Cowcod,USA-NMFS-SCAL
CPANDMEDGSA15-16,169215,Pagellus erythrinus,Common pandora,multinational-GFCM-GSA15-16
CPANDMEDGSA9,169215,Pagellus erythrinus,Common pandora,multinational-GFCM-GSA9
CPRROCKPCOAST,166713,Sebastes caurinus,Copper rockfish,USA-NMFS-PCOAST
CRLOBSTERSA12,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-1-2
CRLOBSTERSA34,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-3-4
CRLOBSTERSA56,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-5-6
CRLOBSTERSA7,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-7
CRLOBSTERSA8,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-8
CROAKSPPCWACIV-BEN,-989,Pseudotolithus spp,Croaker,multinational-FAO-CWACIV-BEN
CROAKSPPCWAGAB-AGO,-989,Pseudotolithus spp,Croaker,multinational-FAO-CWAGAB-AGO
CROAKSPPCWAGIN-LBR,-989,Pseudotolithus spp,Croaker,multinational-FAO-CWAGIN-LBR
CROCKPCOAST,166734,Sebastes pinniger,Canary rockfish,USA-NMFS-PCOAST
CROCKWCVANISOGQCI,166734,Sebastes pinniger,Canary rockfish,Canada-DFO-WCVANI-SOG-QCI
CSALMA1,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A1
CSALMA10,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A10
CSALMA11,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A11
CSALMA12,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A12
CSALMA13,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A13
CSALMA14,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A14
CSALMA15,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A15
CSALMA16,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A16
CSALMA17,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A17
CSALMA18,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A18
CSALMA19,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A19
CSALMA20,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A20
CSALMA22,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A22
CSALMA23,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A23
CSALMA24,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A24
CSALMA25,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A25
CSALMA26,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A26
CSALMA27,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A27
CSALMA29,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A29
CSALMA2E,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A2E
CSALMA2W,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A2W
CSALMA3,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A3
CSALMA4,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A4
CSALMA5,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A5
CSALMA6,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A6
CSALMA7,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A7
CSALMA8,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A8
CSALMA9,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A9
CSALMAKPSESCD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-AKPSESCD
CSALMAKPSWUD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-AKPSWUD
CSALMAMURCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-AMURCH
CSALMAMURCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-AMURCW
CSALMANADYRCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-ANADYRCW
CSALMANDREAR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-ANDREAR
CSALMANVIKR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-ANVIKR
CSALMBEARR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BEARR
CSALMBECHSNWD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BECHSNWD
CSALMBLKAMR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BLKAMR
CSALMBRUINR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BRUINR
CSALMCARIBOUF,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CARIBOUF
CSALMCHIDWD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CHIDWD
CSALMCHIGCD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CHIGCD
CSALMCHIGED,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CHIGED
CSALMCINDERR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CINDERR
CSALMCOLR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-COLR
CSALMCWCIR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CWCIR
CSALMDFL,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-DFL
CSALMEALSEKR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-EALSEKR
CSALMEKAMCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-EKAMCH
CSALMEKAMCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-EKAMCW
CSALMESAKCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-ESAKCH
CSALMFISHC,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-FISHC
CSALMGOLOVIN,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-GOLOVIN
CSALMGOODNEWSR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-GOODNEWSR
CSALMGRAYH,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-GRAYH
CSALMHOODC,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-HOODC
CSALMHSCH,161976,Oncorhynchus keta,Chum salmon,Japan-FAJ-HSCH
CSALMHSCW,161976,Oncorhynchus keta,Chum salmon,Japan-FAJ-HSCW
CSALMISCFPM,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-ISCFPM
CSALMIZEMBEKMNWD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-IZEMBEKMNWD
CSALMJCCH,161976,Oncorhynchus keta,Chum salmon,Japan-FAJ-JCCH
CSALMJDFS,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-JDFS
CSALMKADASHANC,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KADASHANC
CSALMKANEKTOKR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KANEKTOKR
CSALMKOTZEBUES,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KOTZEBUES
CSALMKTRNS,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KTRNS
CSALMKUSKOKWIM,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KUSKOKWIM
CSALMMNRSD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-MNRSD
CSALMNELSONL,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NELSONL
CSALMNORTONB,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NORTONB
CSALMNORTONSD1,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NORTONSD1
CSALMNSR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-NSR
CSALMNUSHAGAKD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NUSHAGAKD
CSALMOKCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-OKCH
CSALMOKCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-OKCW
CSALMPDIC,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PDIC
CSALMPERRYVILLED,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PERRYVILLED
CSALMPGRAHAM,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PGRAHAM
CSALMPHEIDEN,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PHEIDEN
CSALMPMOLLERBT,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PMOLLERBT
CSALMPRIMCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-PRIMCH
CSALMPRIMCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-PRIMCW
CSALMROCKYR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-ROCKYR
CSALMSHAKTOOLIK,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-SHAKTOOLIK
CSALMSKAGR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SKAGR
CSALMSSOUNDFR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSOUNDFR
CSALMSSOUNDSR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSOUNDSR
CSALMSSOUNDWR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSOUNDWR
CSALMSSR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSR
CSALMTHREEH,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-THREEH
CSALMTOGD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-TOGD
CSALMUCOOKI,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-UCOOKI
CSALMUNALAKLEET,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-UNALAKLEET
CSALMURSUSCL,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-URSUSCL
CSALMWILLB,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-WILLB
CSALMWKAMCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-WKAMCH
CSALMWKAMCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-WKAMCW
CSALMYUKONRFR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-YUKONRFR
CSALMYUKONRSR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-YUKONRSR
CSARDCSCH,551247,Strangomera bentincki,Chilean sardine,Chile-SUBPESCA-CH-CS
CSHRIMPCWA,-977,Penaeus spp,Coastal shrimp,multinational-FAO-CWA
CSKATMATLC,160855,Raja eglanteria,Clearnose skate,USA-NMFS-MATLC
CTRACSA,168598,Trachurus capensis,Cape horse mackerel,South Africa-DETMCM-SASC
CUSK4X,164740,Brosme brosme,Cusk,Canada-DFO-4X
CUSKI-II,164740,Brosme brosme,Tusk,multinational-ICES-I-II
CUSKNEATL,164740,Brosme brosme,Tusk,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
CUSKVa-XIV,164740,Brosme brosme,Tusk,multinational-ICES-Va-XIV
CUSKVIb,164740,Brosme brosme,Tusk,multinational-ICES-VIb
CUSKXII,164740,Brosme brosme,Tusk,multinational-ICES-XII
CUTTLECWAGHA,-976,Sepia spp,Cuttlefish,multinational-FAO-CWAGHA
DAB2232,172881,Limanda limanda,Dab,multinational-ICES-22-32
DABIIIa-IV,172881,Limanda limanda,Dab,multinational-ICES-IIIa-IV
DEEPCHAKESA,164796,Merluccius paradoxus,Deep water cape hake,South Africa-DETMCM-SA
DEEPFLATHEADSE,644351,Platycephalus conatus,Deepwater flathead,Australia-AFMA-SE
DKROCKPCOAST,166715,Sebastes crameri,Darkblotched rockfish,USA-NMFS-PCOAST
DOYSFS,-970,Ostrea chilensis,Dredge oyster,New Zealand-MFish-FS
DRSHRIMPCWA,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-FAO-CWA
DSKSHARGMATL,160268,Carcharhinus obscurus,Dusky shark,USA-NMFS-GMATL
DSOLEGA,172887,Microstomus pacificus,Dover sole,USA-NMFS-GA
DSOLEPCOAST,172887,Microstomus pacificus,Dover sole,USA-NMFS-PCOAST
DSSMELTPAC,623381,Glossanodon semifasciatus,Deep sea smelt,Japan-FAJ-PAC
DSSMELTSOJ,623381,Glossanodon semifasciatus,Deep sea smelt,Japan-FAJ-SOJ
DUSROCKGA,644604,Sebastes variabilis,Dusky rockfish,USA-NMFS-GA
EBASSGSA7,170317,Dicentrarchus labrax,European seabass,multinational-GFCM-GSA7
EBASSIVbc-VII,170317,Dicentrarchus labrax,European seabass,multinational-ICES-IVbc-VII
EBASSVIa-VIIb-j,170317,Dicentrarchus labrax,European seabass,multinational-ICES-VIa-VIIb-j
EBASSVIIIab,170317,Dicentrarchus labrax,European seabass,multinational-ICES-VIIIab
EBASSVIIIc-IXa,170317,Dicentrarchus labrax,European seabass,multinational-ICES-VIIIc-IXa
ECSOLESASC,173040,Austroglossus pectoralis,East coast sole,South Africa-DETMCM-SASC
EFLOUN2223,172894,Platichthys flesus,European flounder,multinational-ICES-2223
EFLOUN2425,172894,Platichthys flesus,European flounder,multinational-ICES-2425
EFLOUN26-28,172894,Platichthys flesus,European flounder,multinational-ICES-2628
EFLOUN27-2932,172894,Platichthys flesus,European flounder,multinational-ICES-27-2932
EFLOUNIIIa-IV,172894,Platichthys flesus,European flounder,multinational-ICES-IIIa-IV
EPOLLIV-IIIa,164728,Pollachius pollachius,European pollack,multinational-ICES-IIIa-IV
EPOLLVIII-IXa,164728,Pollachius pollachius,European pollack,multinational-ICES-VIII-IXa
ESOLEHS,172921,Parophrys vetulus,English sole,Canada-DFO-HS
ESOLEPCOAST,172921,Parophrys vetulus,English sole,USA-NMFS-PCOAST
EULAPCOASTCCDU,162051,Thaleichthys pacificus,Eulachon,Canada-DFO-PCOASTCCDU
EULAPCOASTFRDU,162051,Thaleichthys pacificus,Eulachon,Canada-DFO-PCOASTFRDU
EULAPCOASTNSDU,162051,Thaleichthys pacificus,Eulachon,Canada-DFO-PCOASTNSDU
FHFLOUNSOJ,616041,Hippoglossoides dubius,Flathead flounder,Japan-FAJ-SOJ
FLSOLEBSAI,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-BSAI
FLSOLEGA,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-GA
FMEG8c9a,172834,Lepidorhombus boscii,Fourspotted megrim,multinational-ICES-VIIIc-IXa
FSCADNWA,641982,Caranx rhonchus,False scad,multinational-FAO-NWA
FSNAPOKWI,168905,Etelis coruscans,Flame snapper,Japan-FAJ-OKWI
FTOOTHSHARATL,160409,Carcharhinus isodon,Finetooth shark,USA-NMFS-ATL
GAGGM,167759,Mycteroperca microlepis,Gag,USA-NMFS-GM
GAGSATLC,167759,Mycteroperca microlepis,Gag,USA-NMFS-SATLC
GEMFISHNZ,550883,Rexea solandri,Common gemfish,New Zealand-MFish-NZ
GEMFISHSE,550883,Rexea solandri,Common gemfish,Australia-AFMA-SE
GFORKBMEDGSA9,164751,Phycis blennoides,Greater forkbeard,multinational-GFCM-GSA9
GFORKNEATL,164751,Phycis blennoides,Greater forkbeard,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
GGRUNTCWAGAB-AGO,-988,Pomadasys spp,Grey grunt,multinational-FAO-CWAGAB-AGO
GGRUNTCWAGIN-LBR,-988,Pomadasys spp,Grey grunt,multinational-FAO-CWAGIN-LBR
