stockid,tsn,scientificname,commonname,areaid,country,areatype,areacode,areaname,alternateareaname
ANGLVIIIc-IXa,164502,Lophius budegassa,Black bellied angler,multinational-ICES-VIIIc-IXa,multinational,ICES,VIIIc-IXa,ICES 8c-9a,NA
ANGLVII-VIIIabd,164502,Lophius budegassa,Black bellied angler,multinational-ICES-VII-VIIIabd,multinational,ICES,VII-VIIIabd,ICES 7-8abd,NA
APOLLNEMS,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NEMS,Japan,FAJ,NEMS,Nemuro Strait,NA
APOLLNSJ,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NSJ,Japan,FAJ,NSJ,Sea of Japan North,NA
APOLLOKS,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-OKS,Japan,FAJ,OKS,Okhotsk Sea,NA
APOLLPJPN,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-PJPN,Japan,FAJ,PJPN,Pacific Coast of Japan,NA
APSHRIMPSOJ,621110,Pandalus eous,Alaskan pink shrimp,Japan-FAJ-SOJ,Japan,FAJ,SOJ,Sea of Japan,NA
ARCSURF4RST,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-Q4RST,Canada,DFO,Q4RST,Quebec and Gulf of St. Lawrence,NA
ARCSURFBANQ,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-BANQ,Canada,DFO,BANQ,Banquereau,NA
ARCSURFGB,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-3LNO,Canada,DFO,3LNO,Division 3LNO,NA
ARCSURFQCW,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-QCW,Canada,DFO,QCW,Quebec Coastal Waters,NA
ARFLOUNDBSAI,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
ARFLOUNDGA,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-GA,USA,NMFS,GA,Gulf of Alaska,NA
ARFLOUNDPCOAST,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
ARGANCHONARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-N,Argentina,CFP,ARG-N,Northern Argentina,NA
ARGANCHOSARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-S,Argentina,CFP,ARG-S,Southern Argentina,NA
ARGHAKENARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-N,Argentina,CFP,ARG-N,Northern Argentina,NA
ARGHAKESARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-S,Argentina,CFP,ARG-S,Southern Argentina,NA
ARGREENNEMS,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NEMS,Japan,FAJ,NEMS,Nemuro Strait,NA
ARGREENNHOKK,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NHOKK,Japan,FAJ,NHOKK,North coast of Hokkaido,NA
ARGREENSHOKK,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-SHOKK,Japan,FAJ,SHOKK,South coast of Hokkaido,NA
ASCADECS,168736,Decapterus muroadsi,Amberstripe scad,Japan-FAJ-ECS,Japan,FAJ,ECS,East China Sea,NA
ASHARNEATL,160788,Squatina squatina,Angel shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Northeast Atlantic,NA
ATBTUNAEATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,multinational,ICCAT,EATL,Eastern Atlantic,NA
ATBTUNAWATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-WATL,multinational,ICCAT,WATL,Western Atlantic,NA
ATHAL3NOPs4VWX5Zc,172933,Hippoglossus hippoglossus,Atlantic halibut,Canada-DFO-3NOPs4VWX5Zc,Canada,DFO,3NOPs4VWX5Zc,Scotian Shelf and Southern Grand Banks,NA
ATHAL4RST,172933,Hippoglossus hippoglossus,Atlantic halibut,Canada-DFO-4RST,Canada,DFO,4RST,Gulf of St. Lawrence,NA
