stockid,tsn,scientificname,commonname,areaid,country,areatype,areacode,areaname,alternateareaname
CHROCKSPCOAST,166731,Sebastes nebulosus,China rockfish,USA-NMFS-SPCOAST,USA,NMFS,SPCOAST,Southern Pacific Coast,NA
CHSQUIDSA,557249,Loligo reynaudii,Cape Hope squid,South Africa-DETMCM-SA,South Africa,DETMCM,SA,South Africa,NA
CHTRACCH,168597,Trachurus murphyi,Chilean jack mackerel,multinational-SPRFMO-CH,multinational,SPRFMO,CH,Chilean EEZ and offshore,NA
CJOBMHI,168916,Pristipomoides filamentosus,Crimson jobfish,USA-NMFS-MHI,USA,NMFS,MHI,Main Hawaiian Islands,NA
CJOBOKWI,168916,Pristipomoides filamentosus,Crimson jobfish,Japan-FAJ-OKWI,Japan,FAJ,OKWI,Okinawa Islands,NA
CKRAYIIIa-IV,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-IIIa-IV,multinational,ICES,IIIa-IV,ICES 3a-4,NA
CKRAYIXa,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-IXa,multinational,ICES,IXa,Portugese Waters -East,NA
CKRAYVIIIc,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-VIIIc,multinational,ICES,VIIIc,Bay of Biscay -South,NA
CKRAYVI-VII,564143,Leucoraja naevus,Cuckoo ray,multinational-ICES-VI-VII,multinational,ICES,VI-VII,ICES 6-7,NA
CMACKNWA,172412,Scomber japonicus,Chub mackerel,multinational-FAO-NWA,multinational,FAO,NWA,North West Africa,NA
CMACKPCOAST,172412,Scomber japonicus,Pacific chub mackerel,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
CMACKPJPN,172412,Scomber japonicus,Chub mackerel,Japan-FAJ-PJPN,Japan,FAJ,PJPN,Pacific Coast of Japan,NA
CMACKTSST,172412,Scomber japonicus,Chub mackerel,Japan-FAJ-TSST,Japan,FAJ,TSST,Tsushima Strait,NA
COBGM,168566,Rachycentron canadum,Cobia,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
COBSATLC,168566,Rachycentron canadum,Cobia,USA-NMFS-SATLC,USA,NMFS,SATLC,Southern Atlantic coast,NA
COD1ABCDE,164712,Gadus morhua,Atlantic cod,multinational-ICES-1ABCDE,multinational,ICES,1ABCDE,NAFO 1ABCDE,NA
COD1F-XIV,164712,Gadus morhua,Atlantic cod,multinational-ICES-1F-XIV,multinational,ICES,1F-XIV,NAFO 1F and ICES 14,NA
COD1IN,164712,Gadus morhua,Atlantic cod,multinational-ICES-1IN,multinational,ICES,1IN,NAFO Subarea 1 (inshore),NA
COD2J3KL,164712,Gadus morhua,Atlantic cod,Canada-DFO-2J3KL,Canada,DFO,2J3KL,Southern Labrador-Eastern Newfoundland,NA
COD3M,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3M,multinational,NAFO,3M,Flemish Cap,NA
COD3NO,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3NO,multinational,NAFO,3NO,Southern Grand Banks,NA
COD3Pn4RS,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Pn4RS,Canada,DFO,3Pn4RS,Northern Gulf of St. Lawrence,NA
COD3Ps,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Ps,Canada,DFO,3Ps,St. Pierre Bank,NA
COD4TVn,164712,Gadus morhua,Atlantic cod,Canada-DFO-4T,Canada,DFO,4T,Southern Gulf of St. Lawrence,NA
COD4VsW,164712,Gadus morhua,Atlantic cod,Canada-DFO-4VsW,Canada,DFO,4VsW,Eastern Scotian Shelf,NA
COD4X,164712,Gadus morhua,Atlantic cod,Canada-DFO-4X,Canada,DFO,4X,Western Scotian Shelf,NA
COD4X5Yb,164712,Gadus morhua,Atlantic cod,Canada-DFO-4X5Yb,Canada,DFO,4X5Yb,"Western Scotian Shelf, Bay of Fundy and Gulf of Maine",NA
COD5Zjm,164712,Gadus morhua,Atlantic cod,multinational-TRAC-5Zjm,multinational,TRAC,5Zjm,NAFO 5Zjm,NA
CODBA2224,164712,Gadus morhua,Atlantic cod,multinational-ICES-22-24,multinational,ICES,22-24,Western Baltic,NA
CODBA2532,164712,Gadus morhua,Atlantic cod,multinational-ICES-25-32,multinational,ICES,25-32,Eastern Baltic,NA
CODFABNK,164712,Gadus morhua,Atlantic cod,multinational-ICES-Vb2,multinational,ICES,Vb2,Faroe Bank,NA
CODFAPL,164712,Gadus morhua,Atlantic cod,multinational-ICES-Vb1,multinational,ICES,Vb1,Faroe Plateau,NA
CODGB,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Z,USA,NMFS,5Z,Georges Bank,NA
CODGOM,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Y,USA,NMFS,5Y,Gulf of Maine,NA
CODICE,164712,Gadus morhua,Atlantic cod,multinational-ICES-Va,multinational,ICES,Va,Iceland Grounds,NA
CODIIIaW-IV-VIId,164712,Gadus morhua,Atlantic cod,multinational-ICES-IIIaW-IV-VIId,multinational,ICES,IIIaW-IV-VIId,ICES 3a(west)-4-7d,NA
CODIS,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIIa,multinational,ICES,VIIa,Irish Sea,NA
CODKAT,164712,Gadus morhua,Atlantic cod,multinational-ICES-21,multinational,ICES,21,Kattegat,NA
CODNEAR,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II,multinational,ICES,I-II,North-East Arctic,NA
CODNEARNCW,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II-NCW,multinational,ICES,I-II-NCW,North-East Arctic (Norwegian coastal waters),NA
CODVIa,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIa,multinational,ICES,VIa,West of Scotland,Clyde herring
CODVIb,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIb,multinational,ICES,VIb,Rockall Bank,NA
CODVIIek,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIIe-k,multinational,ICES,VIIe-k,Celtic Sea,NA
COWCODSCAL,166754,Sebastes levis,Cowcod,USA-NMFS-SCAL,USA,NMFS,SCAL,Southern California,NA
CPANDMEDGSA15-16,169215,Pagellus erythrinus,Common pandora,multinational-GFCM-GSA15-16,multinational,GFCM,GSA15-16,"Malta Island and South of Sicily (GSA 15, 16)",NA
CPANDMEDGSA9,169215,Pagellus erythrinus,Common pandora,multinational-GFCM-GSA9,multinational,GFCM,GSA9,Ligurian and North Tyrrhenian Sea,NA
CPRROCKPCOAST,166713,Sebastes caurinus,Copper rockfish,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
CRLOBSTERSA12,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-1-2,South Africa,DETMCM,2-Jan,South Africa Areas 1-2,NA
CRLOBSTERSA34,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-3-4,South Africa,DETMCM,4-Mar,South Africa Areas 3-4,NA
CRLOBSTERSA56,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-5-6,South Africa,DETMCM,6-May,South Africa Areas 5-6,NA
CRLOBSTERSA7,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-7,South Africa,DETMCM,7,South Africa Area 7,NA
CRLOBSTERSA8,552953,Jasus lalandii,West coast rock lobster,South Africa-DETMCM-8,South Africa,DETMCM,8,South Africa Area 8,NA
CROAKSPPCWACIV-BEN,-989,Pseudotolithus spp,Croaker,multinational-FAO-CWACIV-BEN,multinational,FAO,CWACIV-BEN,Central West Africa Cote Divoire-Benin,NA
CROAKSPPCWAGAB-AGO,-989,Pseudotolithus spp,Croaker,multinational-FAO-CWAGAB-AGO,multinational,FAO,CWAGAB-AGO,Central West Africa Gabon-Angola,NA
CROAKSPPCWAGIN-LBR,-989,Pseudotolithus spp,Croaker,multinational-FAO-CWAGIN-LBR,multinational,FAO,CWAGIN-LBR,Central West Africa Guinea-Liberia,NA
CROCKPCOAST,166734,Sebastes pinniger,Canary rockfish,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
CROCKWCVANISOGQCI,166734,Sebastes pinniger,Canary rockfish,Canada-DFO-WCVANI-SOG-QCI,Canada,DFO,WCVANI-SOG-QCI,West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands,NA
CSALMA1,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A1,Canada,DFO,A1,Area 1,NA
CSALMA10,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A10,Canada,DFO,A10,Area 10,NA
CSALMA11,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A11,Canada,DFO,A11,Area 11,NA
CSALMA12,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A12,Canada,DFO,A12,Area 12,NA
CSALMA13,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A13,Canada,DFO,A13,Area 13,NA
CSALMA14,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A14,Canada,DFO,A14,Area 14,NA
CSALMA15,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A15,Canada,DFO,A15,Area 15,NA
CSALMA16,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A16,Canada,DFO,A16,Area 16,NA
CSALMA17,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A17,Canada,DFO,A17,Area 17,NA
CSALMA18,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A18,Canada,DFO,A18,Area 18,NA
CSALMA19,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A19,Canada,DFO,A19,Area 19,NA
CSALMA20,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A20,Canada,DFO,A20,Area 20,NA
CSALMA22,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A22,Canada,DFO,A22,Area 22,NA
CSALMA23,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A23,Canada,DFO,A23,Area 23,NA
CSALMA24,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A24,Canada,DFO,A24,Area 24,NA
CSALMA25,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A25,Canada,DFO,A25,Area 25,NA
CSALMA26,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A26,Canada,DFO,A26,Area 26,NA
CSALMA27,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A27,Canada,DFO,A27,Area 27,NA
CSALMA29,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A29,Canada,DFO,A29,Area 29,NA
CSALMA2E,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A2E,Canada,DFO,A2E,Area 2E,NA
CSALMA2W,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A2W,Canada,DFO,A2W,Area 2W,NA
CSALMA3,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A3,Canada,DFO,A3,Area 3,NA
CSALMA4,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A4,Canada,DFO,A4,Area 4,NA
CSALMA5,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A5,Canada,DFO,A5,Area 5,NA
CSALMA6,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A6,Canada,DFO,A6,Area 6,NA
CSALMA7,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A7,Canada,DFO,A7,Area 7,NA
CSALMA8,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A8,Canada,DFO,A8,Area 8,NA
CSALMA9,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-A9,Canada,DFO,A9,Area 9,NA
CSALMAKPSESCD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-AKPSESCD,USA,AKSTATE,AKPSESCD,AK Pen Southeastern and South-central Districts,NA
CSALMAKPSWUD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-AKPSWUD,USA,AKSTATE,AKPSWUD,AK Pen Southwestern and Unimak Districts,NA
CSALMAMURCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-AMURCH,Russia,TINRO,AMURCH,Amur chum hatchery,NA
CSALMAMURCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-AMURCW,Russia,TINRO,AMURCW,Amur chum wild,NA
CSALMANADYRCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-ANADYRCW,Russia,TINRO,ANADYRCW,Anadyr chum wild,NA
CSALMANDREAR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-ANDREAR,USA,AKSTATE,ANDREAR,Andreafsky River,NA
CSALMANVIKR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-ANVIKR,USA,AKSTATE,ANVIKR,Anvik River,NA
CSALMBEARR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BEARR,USA,AKSTATE,BEARR,Bear River,NA
CSALMBECHSNWD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BECHSNWD,USA,AKSTATE,BECHSNWD,"Bechevin, Swanson (Northwestern District)",NA
CSALMBLKAMR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BLKAMR,USA,AKSTATE,BLKAMR,Big and Little Kamishak Rivers,NA
CSALMBRUINR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-BRUINR,USA,AKSTATE,BRUINR,Bruin River,NA
CSALMCARIBOUF,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CARIBOUF,USA,AKSTATE,CARIBOUF,CaribouFlats,NA
CSALMCHIDWD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CHIDWD,USA,AKSTATE,CHIDWD,Chignik Western District,NA
CSALMCHIGCD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CHIGCD,USA,AKSTATE,CHIGCD,Chignik Central District,NA
CSALMCHIGED,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CHIGED,USA,AKSTATE,CHIGED,Chignik Eastern District,NA
CSALMCINDERR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CINDERR,USA,AKSTATE,CINDERR,Cinder River,NA
CSALMCOLR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-COLR,USA,WASTATE,COLR,Columbia R,NA
CSALMCWCIR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-CWCIR,USA,AKSTATE,CWCIR,Cottonwood Creek and Iniskin River,NA
CSALMDFL,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-DFL,USA,AKSTATE,DFL,Dogfish Lagoon,NA
CSALMEALSEKR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-EALSEKR,USA,AKSTATE,EALSEKR,East Alsek River,NA
CSALMEKAMCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-EKAMCH,Russia,TINRO,EKAMCH,East Kamchatka chum hatchery,NA
CSALMEKAMCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-EKAMCW,Russia,TINRO,EKAMCW,East Kamchatka chum wild,NA
CSALMESAKCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-ESAKCH,Russia,TINRO,ESAKCH,East Sakhalin chum hatchery,NA
CSALMFISHC,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-FISHC,USA,AKSTATE,FISHC,Fish Creek,NA
CSALMGOLOVIN,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-GOLOVIN,USA,AKSTATE,GOLOVIN,Golovin,NA
CSALMGOODNEWSR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-GOODNEWSR,USA,AKSTATE,GOODNEWSR,Goodnews River,NA
CSALMGRAYH,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-GRAYH,USA,WASTATE,GRAYH,Grays Harbour,NA
CSALMHOODC,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-HOODC,USA,WASTATE,HOODC,Hood Canal,NA
CSALMHSCH,161976,Oncorhynchus keta,Chum salmon,Japan-FAJ-HSCH,Japan,FAJ,HSCH,Japan High Seas catch chum hatchery,NA
CSALMHSCW,161976,Oncorhynchus keta,Chum salmon,Japan-FAJ-HSCW,Japan,FAJ,HSCW,Japan High Seas catch chum wild,NA
CSALMISCFPM,161976,Oncorhynchus keta,Chum salmon,Canada-DFO-ISCFPM,Canada,DFO,ISCFPM,Inner South Coast (Fraser plus Mainland),NA
CSALMIZEMBEKMNWD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-IZEMBEKMNWD,USA,AKSTATE,IZEMBEKMNWD,"Izembek, Moffet (Northwestern District)",NA
CSALMJCCH,161976,Oncorhynchus keta,Chum salmon,Japan-FAJ-JCCH,Japan,FAJ,JCCH,Japan coastal chum hatchery,NA
CSALMJDFS,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-JDFS,USA,WASTATE,JDFS,Juan de Fuca Straits,NA
CSALMKADASHANC,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KADASHANC,USA,AKSTATE,KADASHANC,Kadashan Creek,NA
CSALMKANEKTOKR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KANEKTOKR,USA,AKSTATE,KANEKTOKR,Kanektok River,NA
CSALMKOTZEBUES,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KOTZEBUES,USA,AKSTATE,KOTZEBUES,Kotzebue Sound,NA
CSALMKTRNS,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KTRNS,USA,AKSTATE,KTRNS,Kwiniuk and Tubutulik Rivers (Norton Sound),NA
CSALMKUSKOKWIM,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-KUSKOKWIM,USA,AKSTATE,KUSKOKWIM,Kuskokwim,NA
CSALMMNRSD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-MNRSD,USA,AKSTATE,MNRSD,McNeil River (and Sub-District),NA
CSALMNELSONL,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NELSONL,USA,AKSTATE,NELSONL,NelsonLagoon,NA
CSALMNORTONB,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NORTONB,USA,AKSTATE,NORTONB,Norton Bay,NA
CSALMNORTONSD1,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NORTONSD1,USA,AKSTATE,NORTONSD1,Norton Sound District 1,NA
CSALMNSR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-NSR,USA,WASTATE,NSR,Nooksack and Samish Rivers,NA
CSALMNUSHAGAKD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-NUSHAGAKD,USA,AKSTATE,NUSHAGAKD,Nushagak District,NA
CSALMOKCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-OKCH,Russia,TINRO,OKCH,Okhotsk chum hatchery,NA
CSALMOKCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-OKCW,Russia,TINRO,OKCW,Okhotsk chum wild,NA
CSALMPDIC,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PDIC,USA,AKSTATE,PDIC,Port Dick and Island Creek,NA
CSALMPERRYVILLED,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PERRYVILLED,USA,AKSTATE,PERRYVILLED,Perryville District,NA
CSALMPGRAHAM,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PGRAHAM,USA,AKSTATE,PGRAHAM,Port Graham,NA
CSALMPHEIDEN,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PHEIDEN,USA,AKSTATE,PHEIDEN,PortHeiden,NA
CSALMPMOLLERBT,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-PMOLLERBT,USA,AKSTATE,PMOLLERBT,PMollerBt,NA
CSALMPRIMCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-PRIMCH,Russia,TINRO,PRIMCH,Primorye chum hatchery,NA
CSALMPRIMCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-PRIMCW,Russia,TINRO,PRIMCW,Primorye chum wild,NA
CSALMROCKYR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-ROCKYR,USA,AKSTATE,ROCKYR,Rocky River,NA
CSALMSHAKTOOLIK,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-SHAKTOOLIK,USA,AKSTATE,SHAKTOOLIK,Shaktoolik,NA
CSALMSKAGR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SKAGR,USA,WASTATE,SKAGR,Skagit River,NA
CSALMSSOUNDFR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSOUNDFR,USA,WASTATE,SSOUNDFR,South Sound Fall Run,NA
CSALMSSOUNDSR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSOUNDSR,USA,WASTATE,SSOUNDSR,South Sound Summer Run,NA
CSALMSSOUNDWR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSOUNDWR,USA,WASTATE,SSOUNDWR,South Sound Winter Run,NA
CSALMSSR,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-SSR,USA,WASTATE,SSR,Stillaguamish and Snohomish Rivers,NA
CSALMTHREEH,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-THREEH,USA,AKSTATE,THREEH,ThreeHills,NA
CSALMTOGD,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-TOGD,USA,AKSTATE,TOGD,Togiak District,NA
CSALMUCOOKI,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-UCOOKI,USA,AKSTATE,UCOOKI,Upper Cook Inlet,NA
CSALMUNALAKLEET,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-UNALAKLEET,USA,AKSTATE,UNALAKLEET,Unalakleet,NA
CSALMURSUSCL,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-URSUSCL,USA,AKSTATE,URSUSCL,Ursus Cove and Lagoon,NA
CSALMWILLB,161976,Oncorhynchus keta,Chum salmon,USA-WASTATE-WILLB,USA,WASTATE,WILLB,Willapa Bay,NA
CSALMWKAMCH,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-WKAMCH,Russia,TINRO,WKAMCH,West Kamchatka chum hatchery,NA
CSALMWKAMCW,161976,Oncorhynchus keta,Chum salmon,Russia-TINRO-WKAMCW,Russia,TINRO,WKAMCW,West Kamchatka chum wild,NA
CSALMYUKONRFR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-YUKONRFR,USA,AKSTATE,YUKONRFR,Yukon River Fall Run,NA
CSALMYUKONRSR,161976,Oncorhynchus keta,Chum salmon,USA-AKSTATE-YUKONRSR,USA,AKSTATE,YUKONRSR,Yukon River Summer Run,NA
CSARDCSCH,551247,Strangomera bentincki,Chilean sardine,Chile-SUBPESCA-CH-CS,Chile,SUBPESCA,CH-CS,Central-Southern Chile,NA
CSHRIMPCWA,-977,Penaeus spp,Coastal shrimp,multinational-FAO-CWA,multinational,FAO,CWA,Central West Africa,NA
CSKATMATLC,160855,Raja eglanteria,Clearnose skate,USA-NMFS-MATLC,USA,NMFS,MATLC,Mid-Atlantic Coast,NA
CTRACSA,168598,Trachurus capensis,Cape horse mackerel,South Africa-DETMCM-SASC,South Africa,DETMCM,SASC,South Africa South coast,NA
CUSK4X,164740,Brosme brosme,Cusk,Canada-DFO-4X,Canada,DFO,4X,Western Scotian Shelf,NA
CUSKI-II,164740,Brosme brosme,Tusk,multinational-ICES-I-II,multinational,ICES,I-II,North-East Arctic,NA
CUSKNEATL,164740,Brosme brosme,Tusk,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Northeast Atlantic,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
CUSKVa-XIV,164740,Brosme brosme,Tusk,multinational-ICES-Va-XIV,multinational,ICES,Va-XIV,ICES 5a-14,NA
CUSKVIb,164740,Brosme brosme,Tusk,multinational-ICES-VIb,multinational,ICES,VIb,Rockall Bank,NA
CUSKXII,164740,Brosme brosme,Tusk,multinational-ICES-XII,multinational,ICES,XII,North of Azores,NA
CUTTLECWAGHA,-976,Sepia spp,Cuttlefish,multinational-FAO-CWAGHA,multinational,FAO,CWAGHA,Central West Africa Ghana,NA
DAB2232,172881,Limanda limanda,Dab,multinational-ICES-22-32,multinational,ICES,22-32,Baltic Areas 22-32,NA
DABIIIa-IV,172881,Limanda limanda,Dab,multinational-ICES-IIIa-IV,multinational,ICES,IIIa-IV,ICES 3a-4,NA
DEEPCHAKESA,164796,Merluccius paradoxus,Deep water cape hake,South Africa-DETMCM-SA,South Africa,DETMCM,SA,South Africa,NA
DEEPFLATHEADSE,644351,Platycephalus conatus,Deepwater flathead,Australia-AFMA-SE,Australia,AFMA,SE,Southeast Australia,NA
DKROCKPCOAST,166715,Sebastes crameri,Darkblotched rockfish,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
DOYSFS,-970,Ostrea chilensis,Dredge oyster,New Zealand-MFish-FS,New Zealand,MFish,FS,Foveax Strait,NA
DRSHRIMPCWA,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-FAO-CWA,multinational,FAO,CWA,Central West Africa,NA
DSKSHARGMATL,160268,Carcharhinus obscurus,Dusky shark,USA-NMFS-GMATL,USA,NMFS,GMATL,Gulf of Mexico and Atlantic,NA
DSOLEGA,172887,Microstomus pacificus,Dover sole,USA-NMFS-GA,USA,NMFS,GA,Gulf of Alaska,NA
DSOLEPCOAST,172887,Microstomus pacificus,Dover sole,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
DSSMELTPAC,623381,Glossanodon semifasciatus,Deep sea smelt,Japan-FAJ-PAC,Japan,FAJ,PAC,Pacific Ocean,NA
DSSMELTSOJ,623381,Glossanodon semifasciatus,Deep sea smelt,Japan-FAJ-SOJ,Japan,FAJ,SOJ,Sea of Japan,NA
DUSROCKGA,644604,Sebastes variabilis,Dusky rockfish,USA-NMFS-GA,USA,NMFS,GA,Gulf of Alaska,NA
EBASSGSA7,170317,Dicentrarchus labrax,European seabass,multinational-GFCM-GSA7,multinational,GFCM,GSA7,Gulf of Lions,NA
EBASSIVbc-VII,170317,Dicentrarchus labrax,European seabass,multinational-ICES-IVbc-VII,multinational,ICES,IVbc-VII,ICES 4bc-7,NA
EBASSVIa-VIIb-j,170317,Dicentrarchus labrax,European seabass,multinational-ICES-VIa-VIIb-j,multinational,ICES,VIa-VIIb-j,ICES 6a-7b-j,NA
EBASSVIIIab,170317,Dicentrarchus labrax,European seabass,multinational-ICES-VIIIab,multinational,ICES,VIIIab,ICES 8ab,NA
EBASSVIIIc-IXa,170317,Dicentrarchus labrax,European seabass,multinational-ICES-VIIIc-IXa,multinational,ICES,VIIIc-IXa,ICES 8c-9a,NA
ECSOLESASC,173040,Austroglossus pectoralis,East coast sole,South Africa-DETMCM-SASC,South Africa,DETMCM,SASC,South Africa South coast,NA
EFLOUN2223,172894,Platichthys flesus,European flounder,multinational-ICES-2223,multinational,ICES,2223,Subdivisions 22-23,NA
EFLOUN2425,172894,Platichthys flesus,European flounder,multinational-ICES-2425,multinational,ICES,2425,Subdivisions 24-25,NA
EFLOUN26-28,172894,Platichthys flesus,European flounder,multinational-ICES-2628,multinational,ICES,2628,Subdivisions 26-28,NA
EFLOUN27-2932,172894,Platichthys flesus,European flounder,multinational-ICES-27-2932,multinational,ICES,27-2932,Subdivisions 27 and 29-32,NA
EFLOUNIIIa-IV,172894,Platichthys flesus,European flounder,multinational-ICES-IIIa-IV,multinational,ICES,IIIa-IV,ICES 3a-4,NA
EPOLLIV-IIIa,164728,Pollachius pollachius,European pollack,multinational-ICES-IIIa-IV,multinational,ICES,IIIa-IV,ICES 3a-4,NA
EPOLLVIII-IXa,164728,Pollachius pollachius,European pollack,multinational-ICES-VIII-IXa,multinational,ICES,VIII-IXa,ICES 8-9a,NA
