"","stock_name","min_year","max_year"
"299","SBWHITACIR",1980,2011
"300","SBWHITARGS",1987,2017
"301","SBWHITCH",1978,2020
"302","SCMPBP",1987,2008
"303","SCMPMB",1989,2013
"304","SCMPWHB",1985,2011
"305","SCUPNWATLC",1984,2016
"306","SDOGBLKGSA29",1989,2014
"307","SEELNSSA1",1983,2019
"308","SEELNSSA2",1983,2019
"309","SEELNSSA3",1986,2019
"310","SEELNSSA4",1993,2019
"311","SFLOUNMATLC",1982,2015
"312","SILVERFISHSE",1980,2017
"313","SKJCWPAC",1972,2015
"314","SMOOTHOREOCR",1955,2002
"315","SNAPSAUSNSG",1984,2005
"316","SNAPSAUSSGSV",1987,2005
"317","SNAPSAUSSSG",1985,2005
"318","SNOWCRABBS",1982,2016
"319","SNROCKPCOAST",1977,2009
"320","SOLECS",1971,2018
"321","SOLEIIIa.2224",1984,2018
"322","SOLEIS",1970,2017
"323","SOLENS",1957,2018
"324","SOLEVIId",1982,2017
"325","SOLEVIIe",1969,2017
"326","SOLEVIIh.k",1993,2016
"327","SOLEVIIIab",1984,2017
"328","SOUTHHAKECR",1985,2011
"329","SOUTHHAKESA",1975,1990
"330","SOUTHHAKEWCSI",1973,2010
"331","SPANMACKSETO",1987,2013
"332","SPHAKECH",1972,2020
"333","SPRAT22.32",1974,2018
"334","SPRATIIIa.IV",1982,2019
"335","SSALMBIRKENH",1948,1996
"336","SSALMBLACKL",1922,1993
"337","SSALMBOWRON",1948,1995
"338","SSALMBRANCH",1956,1998
"339","SSALMCHIGNIKL",1922,1993
"340","SSALMCHILKATL",1976,1997
"341","SSALMCHILKO",1948,1996
"342","SSALMCULTUS",1948,1996
"343","SSALMEALSEKDR",1972,1997
"344","SSALMEGEGIK",1956,1998
"345","SSALMEUPPERS",1969,1993
"346","SSALMHARRISON",1948,1995
"347","SSALMIGUSHIK",1956,1998
"348","SSALMKLUKSHUR",1976,1996
"349","SSALMKVICHAK",1956,1998
"350","SSALMLUPPERS",1970,1993
"351","SSALMLWASH",1967,1993
"352","SSALMNADINA",1950,1995
"353","SSALMNAHANTLATCH",1975,1995
"354","SSALMNAKNEK",1956,1998
"355","SSALMNASS",1967,1991
"356","SSALMNUSHAGAK",1958,1998
"357","SSALMNUYAKUK",1956,1982
"358","SSALMOWIKENOL",1948,1999
"359","SSALMPITT",1948,1996
"360","SSALMQUIN",1975,1999
"361","SSALMRAFT",1948,1996
"362","SSALMSEYMOUR",1948,1996
"363","SSALMSITUKR",1976,1997
"364","SSALMSKEENA",1950,1994
"365","SSALMSTELLAKO",1948,1996
"366","SSALMTOGIAK",1956,1998
"367","SSALMUCOOKI",1968,1992
"368","SSALMUGASHIK",1956,1998
"369","SSALMWEAVER",1948,1996
"370","SSALMWOOD",1956,1998
"371","SSLOBSTERSASC",1973,2006
"372","STFLOUNNPCOAST",1984,2002
"373","STFLOUNSPCOAST",1978,2005
"374","STMARLINNEPAC",1975,2007
"375","STMARLINWCNPAC",1975,2010
"376","STRIPEDBASSGOMCHATT",1982,2011
"377","TANNERCRABBSAI",1980,2016
"378","TIGERFLATSE",1940,2015
"379","TILEGM",1965,2009
"380","TILEMATLC",1971,2015
"381","TILESATLC",1990,2007
"382","TREVALLYTRE7",1970,2010
"383","TURIV",1981,2018
"384","VSNAPSATLC",1975,2015
"385","WANGLVIIIc.IXa",1980,2019
"386","WANGLVII.VIIIabd",1986,2019
"387","WAREHOUESE",1986,2008
"388","WAREHOUWSE",1986,2008
"389","WHAKE4T",1978,2011
"390","WHAKEGBGOM",1963,2015
"391","WHITMEDGSA29",1994,2014
"392","WHITNS.VIId",1980,2019
"393","WHITVIa",1981,2017
"394","WHITVIIa",1980,2019
"395","WHITVIIbce.k",1999,2019
"396","WINFLOUN4T",1973,2011
"397","WINFLOUN5Z",1982,2015
"398","WINFLOUNSNEMATL",1981,2010
"399","WITFLOUN4RST",1987,2016
"400","WITFLOUN5Y",1982,2011
"401","WMARLINATL",1976,2010
"402","WPOLLAI",1978,2018
"403","WPOLLEBS",1964,2017
"404","WPOLLGA",1970,2017
"405","WROCKBCW",1960,2005
"406","WROCKPCOAST",1969,2015
"407","YELLCCODGOM",1985,2015
"408","YELLGB",1973,2007
"409","YELLSNEMATL",1973,2015
"410","YEYEROCKPCOAST",1960,2017
"411","YFINEIO",1972,2011
"412","YFINEPAC",1975,2016
"413","YSOLEBSAI",1954,2017
"414","YTROCKNPCOAST",1960,2017
