stock_name,scientific_name,common_name,region,tsn,fishery_type,age,age_type,source
SKJCWPAC,Katsuwonus pelamis,Skipjack tuna,Pacific Ocean,172401,Tuna and Marlin,12,max reported,FishBase
SMOOTHOREOCR,Pseudocyttus maculatus,Smooth oreo,New Zealand,625280,Other Marine,100,max reported,FishBase
SNAPSAUSNSG,Chrysophrys auratus,Snapper,Australia,169231,Other Marine,54,max reported,FishBase
SNOWCRABBS,Chionoecetes opilio,Snow crab,US Alaska,98428,Invertebrate,20,upper age range,NOAA
SNROCKPCOAST,Sebastes diploproa,Splitnose rockfish,US West Coast,166716,Rockfish,86,max reported,FishBase
SOLECS,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEIIIa-2224,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEIS,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLENS,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIId,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIIe,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIIh-k,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIIIab,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOUTHHAKECR,Merluccius australis,Southern hake,New Zealand,164797,Gadids,16,subbed from similar species,NA
SOUTHHAKEWCSI,Merluccius australis,Southern hake,New Zealand,164797,Gadids,16,subbed from similar species,NA
SPANMACKGM,Scomberomorus maculatus,Spanish mackerel,US Southeast and Gulf,172436,Tuna and Marlin,5,max reported,FishBase
SPANMACKSETO,Scomberomorus niphonius,Japanese Spanish mackerel,Japan,172446,Tuna and Marlin,4,max reported,Nishikawa et al 2014
SPHAKECH,Merluccius gayi,South Pacific hake,South America,164799,Gadids,16,subbed from similar species,NA
SPRAT22-32,Sprattus sprattus,Sprat,European Union,161789,Forage Fish,6,max reported,FishBase
SPRATIIIa-IV,Sprattus sprattus,Sprat,European Union,161789,Forage Fish,6,max reported,FishBase
STFLOUNSPCOAST,Platichthys stellatus,Starry flounder,US West Coast,172893,Flatfish,24,max reported,FishBase
STMARLINNEPAC,Kajikia audax,Striped marlin,Pacific Ocean,768127,Tuna and Marlin,20,suspected upper limit,NOAA
STMARLINWCNPAC,Kajikia audax,Striped marlin,Pacific Ocean,768127,Tuna and Marlin,20,suspected upper limit,NOAA
STRIPEDBASSGOMCHATT,Morone saxatilis,Striped bass,US East Coast,167680,Other Marine,30,max reported,FishBase
TANNERCRABBSAI,Chionoecetes bairdi,Tanner crab,US Alaska,98429,Invertebrate,12,max reported,SeaLifeBase
THRSHARNPAC,Alopias vulpinus,Thresher shark,Pacific Ocean,159916,Sharks Rays and Skates,25,max reported,FishBase
TIGERFLATSE,Neoplatycephalus richardsoni,Tiger flathead,Australia,644187,Other Marine,12,max reported,FishBase
TILESATLC,Lopholatilus chamaeleonticeps,Tilefish,US Southeast and Gulf,168546,Other Marine,35,max reported,FishBase
TREVALLYTRE7,Pseudocaranx dentex,Trevally,New Zealand,168641,Other Marine,49,max reported,FishBase
TURIV,Scophthalmus maximus,Turbot,European Union,172748,Flatfish,25,max reported,FishBase
VSNAPSATLC,Rhomboplites aurorubens,Vermilion snapper,US Southeast and Gulf,168909,Other Marine,10,max reported,FishBase
WANGLVIIIc-IXa,Lophius piscatorius,White anglerfish,European Union,164501,Other Marine,24,max reported,FishBase
WANGLVII-VIIIabd,Lophius piscatorius,White anglerfish,European Union,164501,Other Marine,24,max reported,FishBase
WAREHOUESE,Seriolella brama,Blue warehou,Australia,172531,Other Marine,15,max reported,FishBase
WAREHOUWSE,Seriolella brama,Blue warehou,Australia,172531,Other Marine,15,max reported,FishBase
WHAKE4T,Urophycis tenuis,White hake,Canada East Coast,164732,Gadids,23,max reported,FishBase
WHAKEGBGOM,Urophycis tenuis,White hake,US East Coast,164732,Gadids,23,max reported,FishBase
WHITMEDGSA29,Merlangius merlangus,Whiting,Mediterranean-Black Sea,164758,Gadids,20,max reported,FishBase
WHITVIa,Merlangius merlangus,Whiting,European Union,164758,Gadids,20,max reported,FishBase
WHITVIIa,Merlangius merlangus,Whiting,European Union,164758,Gadids,20,max reported,FishBase
WINFLOUN4T,Pseudopleuronectes americanus,Winter flounder,Canada East Coast,172905,Flatfish,14,max reported,FishBase
WINFLOUN5Z,Pseudopleuronectes americanus,Winter flounder,US East Coast,172905,Flatfish,14,max reported,FishBase
WINFLOUNSNEMATL,Pseudopleuronectes americanus,Winter flounder,US East Coast,172905,Flatfish,14,max reported,FishBase
WITFLOUN4RST,Glyptocephalus cynoglossus,Witch flounder,Canada East Coast,172873,Flatfish,25,max reported,FishBase
WITFLOUN5Y,Glyptocephalus cynoglossus,Witch flounder,US East Coast,172873,Flatfish,25,max reported,FishBase
WMARLINATL,Tetrapturus albidus,White marlin,Atlantic Ocean,172499,Tuna and Marlin,30,upper age range,Maryland DNR
WPOLLAI,Theragra chalcogramma,Walleye pollock,US Alaska,164722,Gadids,28,max reported,FishBase
WPOLLEBS,Theragra chalcogramma,Walleye pollock,US Alaska,164722,Gadids,28,max reported,FishBase
WPOLLGA,Theragra chalcogramma,Walleye pollock,US Alaska,164722,Gadids,28,max reported,FishBase
WROCKPCOAST,Sebastes entomelas,Widow rockfish,US West Coast,166719,Rockfish,60,max reported,FishBase
YELLCCODGOM,Limanda ferruginea,Yellowtail flounder,US East Coast,172909,Flatfish,12,max reported,FishBase
YELLGB,Limanda ferruginea,Yellowtail flounder,US East Coast,172909,Flatfish,12,max reported,FishBase
YELLSNEMATL,Limanda ferruginea,Yellowtail flounder,US East Coast,172909,Flatfish,12,max reported,FishBase
YEYEROCKPCOAST,Sebastes ruberrimus,Yelloweye rockfish,US West Coast,166740,Rockfish,118,max reported,FishBase
YFINEIO,Thunnus albacares,Yellowfin tuna,Indian Ocean,172423,Tuna and Marlin,9,max reported,FishBase
YFINEPAC,Thunnus albacares,Yellowfin tuna,Pacific Ocean,172423,Tuna and Marlin,9,max reported,FishBase
YSOLEBSAI,Limanda aspera,Yellowfin sole,US Alaska,172907,Flatfish,34,max reported,FishBase
YTROCKNPCOAST,Sebastes flavidus,Yellowtail rockfish,US West Coast,166720,Rockfish,64,max reported,FishBase
