stock_name,scientific_name,common_name,region,tsn,fishery_type,age,age_type,source
COD3Ps,Gadus morhua,Atlantic cod,Canada East Coast,164712,Gadids,25,max reported,FishBase
COD4TVn,Gadus morhua,Atlantic cod,Canada East Coast,164712,Gadids,25,max reported,FishBase
COD5Zjm,Gadus morhua,Atlantic cod,Canada East Coast,164712,Gadids,25,max reported,FishBase
CODBA2224,Gadus morhua,Atlantic cod,European Union,164712,Gadids,25,max reported,FishBase
CODBA2532,Gadus morhua,Atlantic cod,European Union,164712,Gadids,25,max reported,FishBase
CODFAPL,Gadus morhua,Atlantic cod,Europe non EU,164712,Gadids,25,max reported,FishBase
CODGB,Gadus morhua,Atlantic cod,US East Coast,164712,Gadids,25,max reported,FishBase
CODICE,Gadus morhua,Atlantic cod,Europe non EU,164712,Gadids,25,max reported,FishBase
CODIIIaW-IV-VIId,Gadus morhua,Atlantic cod,European Union,164712,Gadids,25,max reported,FishBase
CODNEAR,Gadus morhua,Atlantic cod,Europe non EU,164712,Gadids,25,max reported,FishBase
CODVIa,Gadus morhua,Atlantic cod,European Union,164712,Gadids,25,max reported,FishBase
CODVIIek,Gadus morhua,Atlantic cod,European Union,164712,Gadids,25,max reported,FishBase
CROCKPCOAST,Sebastes pinniger,Canary rockfish,US West Coast,166734,Rockfish,84,max reported,FishBase
CSARDCSCH,Strangomera bentincki,Chilean sardine,South America,551247,Forage Fish,13,max reported,NOAA
CUSKVa-XIV,Brosme brosme,Tusk,European Union,164740,Gadids,20,max reported,FishBase
DEEPCHAKESA,Merluccius paradoxus,Deep water cape hake,Southern Africa,164796,Gadids,30,subbed from similar species,FishBase
DEEPFLATHEADSE,Platycephalus conatus,Deepwater flathead,Australia,644351,Other Marine,20,max reported,FishBase
DKROCKPCOAST,Sebastes crameri,Darkblotched rockfish,US West Coast,166715,Rockfish,105,max reported,FishBase
DSOLEGA,Microstomus pacificus,Dover sole,US Alaska,172887,Flatfish,56,max reported,FishBase
DSOLEPCOAST,Microstomus pacificus,Dover sole,US West Coast,172887,Flatfish,56,max reported,FishBase
DUSROCKGA,Sebastes variabilis,Dusky rockfish,US Alaska,644604,Rockfish,50,max reported,FishBase
