stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
GAGGM, 167759,Mycteroperca microlepis,Gag,USA-NMFS-GM,Gag Gulf of Mexico,US Southeast and Gulf,USA,31,USA,,0,NA,Current
GAGSATLC, 167759,Mycteroperca microlepis,Gag,USA-NMFS-SATLC,Gag Southern Atlantic coast,US Southeast and Gulf,USA,31,USA,c39e3a9a-1b9e-3ddc-a332-ccce4d9f8178,0,NA,Current
GEMFISHNZ, 550883,Rexea solandri,Common gemfish,New Zealand-MFish-NZ,Common gemfish New Zealand,New Zealand,New Zealand,81,NZL,,0,,Current
GEMFISHSE, 550883,Rexea solandri,Common gemfish,Australia-AFMA-SE,Common gemfish Southeast Australia,Australia,Australia,81,AUS,44124c25-04fa-327a-b06c-7eab226fb1b1,0,,Current
GFORKBMEDGSA9, 164751,Phycis blennoides,Greater forkbeard,multinational-GFCM-GSA9,Greater forkbeard Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,3c488ecf-5c2b-38fc-bf8e-308ad3c866b4,0,NA,Current
GFORKNEATL, 164751,Phycis blennoides,Greater forkbeard,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Greater forkbeard Northeast Atlantic,European Union,Spain,27,ESP,dc9bb54c-ed72-3f84-b301-2bca7fa64de8,0,NA,Current
GGRUNTCWAGAB-AGO,   -988,Pomadasys spp,Grey grunt,multinational-FAO-CWAGAB-AGO,Grey grunt Central West Africa Gabon-Angola,West Africa,Gabon,34,GAB,,0,NA,Current
GGRUNTCWAGIN-LBR,   -988,Pomadasys spp,Grey grunt,multinational-FAO-CWAGIN-LBR,Grey grunt Central West Africa Guinea-Liberia,West Africa,Guinea,34,GIN,,0,NA,Current
GGURNIIIa-IV-VIId, 167044,Eutrigla gurnardus,Grey gurnard,multinational-ICES-IIIa-IV-VIId,Grey gurnard ICES 3a-4-7d,European Union,Netherlands,27,NLD,db5b4f84-c969-3ca3-a4cb-e9e778cc2e7a,0,NA,Current
GHAL01ABCDEF, 172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-01ABCDEF,Greenland halibut NAFO divisions 01ABCDEF,Canada East Coast,Canada,21,CAN,9d38bed7-214e-31c8-8c68-ad8e9a5732bf,0,NA,Current
GHAL23KLMNO, 172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-23KLMNO,Greenland halibut Labrador Shelf - Grand Banks,Canada East Coast,Canada,21,CAN,,1,GHALNAFO23,Current
GHAL4RST, 172930,Reinhardtius hippoglossoides,Greenland halibut,Canada-DFO-4RST,Greenland halibut Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,a387d39f-8d98-3d0d-b5ca-4f31e5d843a8,0,NA,Current
GHALBSAI, 172930,Reinhardtius hippoglossoides,Greenland halibut,USA-NMFS-BSAI,Greenland halibut Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,80b3277b-8401-3bec-aa24-6b5426c68cd2,1,GHALEBS,Current
GHALNEAR, 172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-I-II,Greenland halibut North-East Arctic,Europe non EU,Norway,27,NOR,3b7f361d-b200-3447-8d30-c4c1a67af86f,1,GHALNEAR,Current
GHALV-VI-XII-XIV, 172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-V-VI-XII-XIV,Greenland halibut ICES 5-6-12-14,European Union,Iceland,27,ISL,b165b8a4-d259-3796-9922-813ad8ba5290,0,NA,Current
GHBRMGSA7, 647901,Sparus aurata,Gilthead seabream,multinational-GFCM-GSA7,Gilthead seabream Gulf of Lions,Mediterranean-Black Sea,France,37,FRA,52fd2def-067d-3659-bc86-6efd87bea6bf,0,NA,Current
GJOBMHI, 168926,Aprion virescens,Green jobfish,USA-NMFS-MHI,Green jobfish Main Hawaiian Islands,US Hawaii,USA,77,USA,,0,NA,Current
GKCRABAI, 660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AI,Golden king crab Aleutian Islands,US Alaska,USA,67,USA,,0,NA,Deprecated
GKCRABAIES, 660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIES,Golden king crab Aleutian Islands Eastern segment,US Alaska,USA,67,USA,,0,NA,Current
GKCRABAIWS, 660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIWS,Golden king crab Aleutian Islands Western segment,US Alaska,USA,67,USA,,0,NA,Current
GKCRABPI, 660179,Lithodes aequispinus,Golden king crab,USA-NMFS-PI,Golden king crab Pribilof Islands,US Alaska,USA,67,USA,,0,NA,Current
GLGROUPSATLCGM, 167695,Epinephelus itajara,Goliath grouper,USA-NMFS-SATLCGM,Goliath grouper Southern Atlantic coast and Gulf of Mexico,US Southeast and Gulf,USA,31,USA,,0,NA,Current
GOLDREDNEAR, 166781,Sebastes norvegicus,Golden redfish,multinational-ICES-I-II,Golden redfish North-East Arctic,Europe non EU,Norway,27,NOR,,0,NA,Current
GOLDREDV-VI-XII-XIV, 166781,Sebastes norvegicus,Golden redfish,multinational-ICES-V-VI-XII-XIV,Golden redfish ICES 5-6-12-14,European Union,Iceland,27,ISL,,0,NA,Current
GOPHERSPCOAST, 166767,Sebastes carnatus,Gopher rockfish,USA-NMFS-SPCOAST,Gopher rockfish Southern Pacific Coast,US West Coast,USA,77,USA,,0,,Current
GPOCTOBSAI, 557227,Enteroctopus dofleini,Giant Pacific octopus,USA-NMFS-BSAI,Giant Pacific octopus Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,7abd58c9-9349-3ee5-9348-a8d2e20cf45a,0,NA,Current
GPOCTOGA, 557227,Enteroctopus dofleini,Giant Pacific octopus,USA-NMFS-GA,Giant Pacific octopus Gulf of Alaska,US Alaska,USA,67,USA,,0,NA,Current
GRAMBERGM, 168689,Seriola dumerili,Greater amberjack,USA-NMFS-GM,Greater amberjack Gulf of Mexico,US Southeast and Gulf,USA,31,USA,,0,NA,Current
GRAMBERSATLC, 168689,Seriola dumerili,Greater amberjack,USA-NMFS-SATLC,Greater amberjack Southern Atlantic coast,US Southeast and Gulf,USA,31,USA,122fabd8-ccb0-3e76-b38d-3b591a32e790,0,NA,Current
GRNSTROCKPCOAST, 166717,Sebastes elongatus,Greenstriped rockfish,USA-NMFS-PCOAST,Greenstriped rockfish Pacific Coast,US West Coast,USA,67,USA,,0,,Current
GRSHRIMPMEDGSA10,  96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA10,Giant red shrimp South Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,12c5fbf0-32e3-33ed-8364-1cf96f9abc6d,0,NA,Current
GRSHRIMPMEDGSA11,  96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA11,Giant red shrimp Sardinia,Mediterranean-Black Sea,Italy,37,ITA,8a8e3904-3b0a-36eb-baa8-c21545563a8b,0,NA,Current
GRSHRIMPMEDGSA12-16,  96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA12-16,Giant red shrimp Geographical Sub-Areas 12-16,Mediterranean-Black Sea,Italy,37,ITA,ebc388b2-a409-3886-be25-871122368771,0,NA,Current
GRSHRIMPMEDGSA18-19,  96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA18-19,"Giant red shrimp South Adriatic Sea and West Ionian Sea (GSA 18,19)",Mediterranean-Black Sea,Italy,37,ITA,7081d4a0-f4a2-351b-baeb-271da6628c94,0,NA,Current
GRSHRIMPMEDGSA9,  96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA9,Giant red shrimp Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,61311dc6-7d39-35d0-a5ef-7413e47671d3,0,NA,Current
GRSNAPGM, 168848,Lutjanus griseus,Gray snapper,USA-NMFS-GM,Gray snapper Gulf of Mexico,US Southeast and Gulf,USA,31,USA,,0,NA,Current
GRSPROCKNCAL, 166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-NPCOAST,Greenspotted rockfish Northern Pacific Coast,US West Coast,USA,77,USA,,0,,Current
GRSPROCKSCAL, 166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-SPCOAST,Greenspotted rockfish Southern Pacific Coast,US West Coast,USA,77,USA,,0,,Current
GSSMELTI-II-IIIa-IV, 162064,Argentina silus,Greater silver smelt,multinational-ICES-I-II-IIIa-IV,Greater silver smelt ICES 1-2-3a-4,European Union,Norway,27,NOR,,0,NA,Current
GSSMELTVa-XIV, 162064,Argentina silus,Greater silver smelt,multinational-ICES-Va-XIV,Greater silver smelt ICES 5a-14,Europe non EU,Iceland,27,ISL,b0a2a427-adab-37eb-8993-1d76b1e6171b,0,NA,Current
GSSMELTVb-VIa, 162064,Argentina silus,Greater silver smelt,multinational-ICES-Vb-VIa,Greater silver smelt ICES 5b-6a,Europe non EU,Faroe Islands,27,FRO,,0,NA,Current
GSSMELTVIb-VII-VIII-IX-X-XII, 162064,Argentina silus,Greater silver smelt,multinational-ICES-VIb-VII-VIII-IX-X-XII,Greater silver smelt ICES 6b-7-8-9-10-12,European Union,Iceland,27,ISL,,0,NA,Current
GSTRGZRSTA7, 171064,Kathetostoma giganteum,Giant stargazer,New Zealand-MFish-STA7,Giant stargazer NZ Area STA7,New Zealand,New Zealand,81,NZL,,0,,Current
GTPRAWNNAUST,  95644,Penaeus semisulcatus,Grooved tiger prawn,Australia-AFMA-NAUST,Grooved tiger prawn Northern Australia,Australia,Australia,71,AUS,,0,,Current
GTREVMHI, 168618,Caranx ignobilis,Giant trevally,USA-NMFS-MHI,Giant trevally Main Hawaiian Islands,US Hawaii,USA,77,USA,,0,NA,Current
GTRIGGM, 173138,Balistes capriscus,Gray triggerfish,USA-NMFS-GM,Gray triggerfish Gulf of Mexico,US Southeast and Gulf,USA,31,USA,95b52195-655f-32d4-a7dd-0b8dcc652698,0,NA,Current
GURCH4RST, 157969,Strongylocentrotus droebachiensis,Green sea urchin,Canada-DFO-4RST,Green sea urchin Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,,0,NA,Current
HAD3LNO, 164744,Melanogrammus aeglefinus,Haddock,multinational-NAFO-3LNO,Haddock Grand Banks,Canada East Coast,Canada,21,CAN,cee8c414-83cf-3d02-8383-e00d356d6549,0,NA,Current
HAD3Ps, 164744,Melanogrammus aeglefinus,Haddock,Canada-DFO-3Ps,Haddock St. Pierre Bank,Canada East Coast,Canada,21,CAN,,0,NA,Current
HAD4X5Y, 164744,Melanogrammus aeglefinus,Haddock,Canada-DFO-4X5Y,"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine",Canada East Coast,Canada,21,CAN,2f0ea947-a38d-3118-81b8-65acd5fc2bbb,0,NA,Current
HAD5Y, 164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-5Y,Haddock Gulf of Maine,US East Coast,USA,21,USA,03492770-49b2-37d6-b19e-8ce8371b1a3c,1,HAD5Y,Current
HADFAPL, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Vb1,Haddock Faroe Plateau,Europe non EU,Faroe Islands,27,FRO,c69f3c97-caf7-39d2-a5e9-02c2cd5b6c77,1,HADFAPL,Current
HADGB, 164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-GB,Haddock Georges Bank,US East Coast,USA,21,USA,c96158f2-d183-3528-8760-72d13f221542,1,HAD5Z,Current
HADICE, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Va,Haddock Iceland Grounds,Europe non EU,Iceland,27,ISL,3675f993-5f0a-398c-9928-10109e20bd4f,1,HADICE,Current
HADIS, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIa,Haddock Irish Sea,European Union,Great Britain,27,GBR,e2f501e1-6277-329d-8e89-adb8121cfb24,1,HADIS,Current
HADNEAR, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-I-II,Haddock North-East Arctic,Europe non EU,Norway,27,NOR,1cf2e4a5-8d4f-3223-9a3e-68f6bc656a84,1,HADNEAR,Current
HADNS-IIIa, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-IIIa-IV,Haddock ICES 3a-4,European Union,Great Britain,27,GBR,d1e404bb-204c-30e6-8d30-33d8960cc7c1,1,HADNS,Deprecated
HADNS-IIIa-VIa, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-NS-IIIa-VIa,Haddock ICES 3a-4-6a,European Union,Iceland,27,ISL,,0,NA,Current
HADROCK, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIb,Haddock Rockall Bank,European Union,Great Britain,27,GBR,35f35021-c41f-3d9a-891e-27f460170a90,1,HADROCK,Current
HADVIa, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIa,Haddock West of Scotland,European Union,Great Britain,27,GBR,01f7c919-aae3-3f83-a45b-5872dfcb1845,1,HADVIa,Deprecated
HADVIIb-k, 164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIb-k,Haddock ICES 7b-k,European Union,France,27,FRA,,0,NA,Current
HAKEMEDGSA15-16, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA15-16,"Hake Malta Island and South of Sicily (GSA 15, 16)",Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
HAKEMEDGSA1-7, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA1-7,Hake Geographical Sub-Areas 1-7,Mediterranean-Black Sea,Spain,37,ESP,,0,NA,Current
HAKEMEDGSA17-18, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA17-18,"Hake Adriatic Sea (GSA 17,18)",Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
HAKEMEDGSA19, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA19,Hake Western Ionian Sea,Mediterranean-Black Sea,Italy,37,ITA,4d6f3906-6a74-3505-9ac4-df02a17bbb34,0,NA,Current
HAKEMEDGSA20, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA20,Hake Eastern Ionian Sea,Mediterranean-Black Sea,Greece,37,GRC,,0,NA,Current
HAKEMEDGSA22-23, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA22-23,"Hake Aegean Sea and Crete Island (GSA 22,23)",Mediterranean-Black Sea,Greece,37,GRC,7bc5d85f-cffd-30e1-8cb2-fb52e57f8d9f,0,NA,Current
HAKEMEDGSA7, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA7,Hake Gulf of Lions,Mediterranean-Black Sea,France,37,FRA,e4889d76-671b-3e91-845e-6434f5133434,0,NA,Current
HAKEMEDGSA9-11, 164795,Merluccius merluccius,Hake,multinational-GFCM-GSA9-11,Hake Geographical Sub-Areas 9-11,Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
HAKENRTN, 164795,Merluccius merluccius,Hake,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,Hake ICES 3a-4-6-7-8abd,European Union,France,27,FRA,,0,NA,Current
HAKENWAMAR, 164795,Merluccius merluccius,Hake,multinational-FAO-NWAMAR,Hake North West Africa Morocco,West Africa,Morocco,34,MAR,,1,NA,Current
HAKESOTH, 164795,Merluccius merluccius,Hake,multinational-ICES-VIIIc-IXa,Hake ICES 8c-9a,European Union,Spain,27,ESP,1bbbe48c-3410-3e19-bcae-fe8b144e852c,0,NA,Current
HAKESPPNWA,   -963,Merluccius spp,Hake spp,multinational-FAO-NWA,Hake spp North West Africa,West Africa,Mauritania,34,MRT,,1,NA,Current
HAKESPPSAF,   -963,Merluccius spp,Hake spp,Namibia-NMFMR-SAF,Hake spp Southern Africa,Southern Africa,Namibia,47,NAM,,1,NA,Current
HERR2224IIIa, 161722,Clupea harengus,Herring,multinational-ICES-22-24-IIIa,Herring ICES 22-24-3a,European Union,Sweden,27,SWE,6119509e-dc3c-33d9-b3d5-26c61171a500,0,NA,Current
HERR2529-32, 161722,Clupea harengus,Herring,multinational-ICES-2529-32,Herring Subdivisions 25-29 and 32,European Union,Sweden,27,SWE,7f31f6f8-be84-39df-bfab-26104a409512,0,NA,Current
HERR2532, 161722,Clupea harengus,Herring,multinational-ICES-25-32,Herring Eastern Baltic,European Union,Sweden,27,SWE,04ea2351-0716-3b97-99ee-aa2ff8667687,0,NA,Deprecated
HERR30, 161722,Clupea harengus,Herring,multinational-ICES-30,Herring Bothnian Sea,European Union,Finland,27,FIN,b6756454-4acd-3ab6-bd0f-a10d42f63a6f,0,NA,Deprecated
HERR30-31, 161722,Clupea harengus,Herring,multinational-ICES-30-31,Herring Subdivisions 30-31,European Union,Finland,27,FIN,,0,NA,Current
HERR31, 161722,Clupea harengus,Herring,multinational-ICES-31,Herring Bothnian Bay,European Union,Finland,27,FIN,dfbb86fd-b4b4-3dce-8564-52fdfe1d5640,0,NA,Deprecated
HERR4RFA, 161722,Clupea harengus,Herring,Canada-DFO-4RFS,Herring NAFO division 4R (Fall spawners),Canada East Coast,Canada,21,CAN,63da7736-65ae-393b-bcf4-fe6cbcd795d7,0,NA,Current
HERR4RSP, 161722,Clupea harengus,Herring,Canada-DFO-4RSS,Herring NAFO division 4R (Spring spawners),Canada East Coast,Canada,21,CAN,87f112c8-7ce0-322a-9b7a-a144b4d297ed,0,NA,Current
HERR4S, 161722,Clupea harengus,Herring,Canada-DFO-4S,Herring Quebec North Shore,Canada East Coast,Canada,21,CAN,2f1174dd-3fce-31be-9176-d79a2dec99f8,0,NA,Deprecated
HERR4SFS, 161722,Clupea harengus,Herring,Canada-DFO-4SFS,Herring Quebec North Shore (Fall spawners),Canada East Coast,Canada,21,CAN,,0,NA,Current
HERR4SSS, 161722,Clupea harengus,Herring,Canada-DFO-4SSS,Herring Quebec North Shore (Spring spawners),Canada East Coast,Canada,21,CAN,,0,NA,Current
HERR4TFA, 161722,Clupea harengus,Herring,Canada-DFO-4TFS,Herring Southern Gulf of St. Lawrence (Fall spawners),Canada East Coast,Canada,21,CAN,2bcf9512-054f-3d62-8827-627721a14e85,0,NA,Current
HERR4TSP, 161722,Clupea harengus,Herring,Canada-DFO-4TSS,Herring Southern Gulf of St. Lawrence (Spring spawners),Canada East Coast,Canada,21,CAN,83c30ebd-7b30-3231-9ebb-b36dd3858754,0,NA,Current
HERR4VWX, 161722,Clupea harengus,Herring,Canada-DFO-4VWX,Herring Scotian Shelf and Bay of Fundy,Canada East Coast,Canada,21,CAN,8306b580-f9ac-30c8-9006-394d89eb0483,0,NA,Current
HERRCC, 551209,Clupea pallasii,Pacific herring,Canada-DFO-CC,Pacific herring Central Coast,Canada West Coast,Canada,67,CAN,d6806592-b065-378f-a000-47f59a75f5e3,0,NA,Current
HERRHOKK, 551209,Clupea pallasii,Pacific herring,Japan-FAJ-HOKK,Pacific herring Hokkaido,Japan,Japan,61,JPN,7a40ac4d-8d9a-3d88-8fe6-4b89d9f5c99a,0,NA,Current
HERRIsum, 161722,Clupea harengus,Herring,multinational-ICES-VaSS,Herring Iceland (Summer spawners),Europe non EU,Iceland,27,ISL,41fa92c6-a1fd-315e-b0af-87a625c17fbd,1,HERRIsum,Current
HERRNFLDESC, 161722,Clupea harengus,Herring,Canada-DFO-NFLDESC,Herring Newfoundland East and South Coast,Canada East Coast,Canada,21,CAN,93adff51-a03c-306d-9a14-ca0515cee6be,0,,Current
HERRNIRS, 161722,Clupea harengus,Herring,multinational-ICES-VIIa,Herring Irish Sea,European Union,Great Britain,27,GBR,2385345a-803c-3006-9f76-b4484ff8def5,1,HERRNIRS,Current
HERRNORSS, 161722,Clupea harengus,Herring,multinational-ICES-I-II-IVa-V-XIVaNSS,Herring ICES 1-2-4a-5-14a (Norwegian Spring Spawners),Europe non EU,Norway,27,NOR,151d2126-c13f-3599-8259-b46388bff388,0,NA,Current
HERRNS-IIIa-VIId, 161722,Clupea harengus,Herring,multinational-ICES-IIIa-IV-VIId,Herring ICES 3a-4-7d,European Union,Norway,27,NOR,94ca66df-f55b-338a-92ea-9592422dd4e4,0,NA,Current
HERRNWATLC, 161722,Clupea harengus,Herring,USA-NMFS-NWATLC,Herring Northwestern Atlantic Coast,US East Coast,USA,21,USA,fec91721-2a5d-3e06-bb54-d3d191603e08,0,NA,Current
HERRPRD, 551209,Clupea pallasii,Pacific herring,Canada-DFO-PRD,Pacific herring Prince Rupert District,Canada West Coast,Canada,67,CAN,,0,NA,Current
HERRPWS, 551209,Clupea pallasii,Pacific herring,USA-AKSTATE-PWS,Pacific herring Prince William Sound,US Alaska,USA,67,USA,c8cd80c3-4729-35ee-ac10-28b9e93b58cb,0,,Current
HERRQCI, 551209,Clupea pallasii,Pacific herring,Canada-DFO-QCI,Pacific herring Queen Charlotte Islands,Canada West Coast,Canada,67,CAN,0bb3b6e7-562c-31e3-bd09-d2197e2b96d8,0,NA,Current
HERRRIGA, 161722,Clupea harengus,Herring,multinational-ICES-RIGA,Herring Gulf of Riga East of Gotland,European Union,Estonia,27,EST,af460984-cf37-3745-bbfc-d985fd723d22,0,NA,Current
HERRSIRS, 161722,Clupea harengus,Herring,multinational-ICES-VIIa-g-h-j-k,Herring ICES 7a-g-h-j-k,European Union,Ireland,27,IRL,d9afd2f8-c17e-32da-b9eb-e8b912aec140,0,,Current
HERRSITKA, 551209,Clupea pallasii,Pacific herring,USA-AKSTATE-SITKA,Pacific herring Sitka,US Alaska,USA,67,USA,e1d9c9da-a9a1-3f5c-9f9a-cfbcd05d5110,0,,Current
HERRSOG, 551209,Clupea pallasii,Pacific herring,Canada-DFO-SOG,Pacific herring Strait of Georgia,Canada West Coast,Canada,67,CAN,,0,NA,Current
HERRTOG, 551209,Clupea pallasii,Pacific herring,USA-AKSTATE-TOG,Pacific herring Togiak District,US Alaska,USA,67,USA,f447a16e-4448-3558-8928-961eea41e8a8,0,,Current
HERRVIa, 161722,Clupea harengus,Herring,multinational-ICES-VIa,Herring West of Scotland,European Union,Great Britain,27,GBR,57db7999-2005-3de8-9f82-5860e9462ce8,1,HERRVIa,Current
HERRVIaVIIbc, 161722,Clupea harengus,Herring,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,European Union,Great Britain,27,GBR,c430ef8e-ab93-3a0c-9574-e3e7ba4bc032,1,HERRVIaVIIbc,Current
HERRWCVANI, 551209,Clupea pallasii,Pacific herring,Canada-DFO-WCVANI,Pacific herring West Coast of Vancouver Island,Canada West Coast,Canada,67,CAN,1d868bea-bfaa-30bb-8e5c-00c63ac316c4,0,NA,Current
HHTILEECS, 645602,Branchiostegus japonicus,Horsehead tilefish,Japan-FAJ-ECS,Horsehead tilefish East China Sea,Japan,Japan,61,JPN,cd602996-7202-347b-ab8e-958d7bab7dd5,0,NA,Current
HMACKIIa-IVa-Vb-VIa-VII-VIII, 168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,European Union,Netherlands,27,NLD,,0,NA,Current
HMACKIIIa-IVbc-VIId, 168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IIIa-IVbc-VIId,Horse mackerel ICES 3a-4bc-7d,European Union,Netherlands,27,NLD,db4c6b9e-5517-3f7e-ba44-68dfdc546c9a,0,NA,Current
HMACKIXa, 168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IXa,Horse mackerel Portugese Waters -East,European Union,Portugal,27,PRT,,0,NA,Current
HMACKNWA, 168588,Trachurus trachurus,Horse mackerel,multinational-FAO-NWA,Horse mackerel North West Africa,West Africa,Morocco,34,MAR,,0,NA,Current
HOGFISHEGM, 170566,Lachnolaimus maximus,Hogfish,USA-NMFS-EGM,Hogfish Eastern Gulf of Mexico,US Southeast and Gulf,USA,31,USA,4cc06e21-3077-3447-a242-54458b3233f5,0,NA,Deprecated
HOGFISHSEFL, 170566,Lachnolaimus maximus,Hogfish,USA-NMFS-SEFL,Hogfish Southeast Florida,US Southeast and Gulf,USA,31,USA,,0,NA,Deprecated
HOKIENZ, 623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-ENZ,Hoki Eastern New Zealand,New Zealand,New Zealand,81,NZL,ce8ff451-63d2-32ef-aa26-4e0a9995cc37,0,NA,Current
HOKIWNZ, 623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-WNZ,Hoki Western New Zealand,New Zealand,New Zealand,81,NZL,c5ca5458-8cba-3c5b-a61f-f83a677d8919,0,NA,Current
ILLEXNWATLC,  82521,Illex illecebrosus,Northern shortfin squid,USA-NMFS-NWATLC,Northern shortfin squid Northwestern Atlantic Coast,US East Coast,USA,21,USA,901efde3-889b-3c7a-ac27-441663b28ee2,0,NA,Current
JAMBERJPN, 168698,Seriola quinqueradiata,Japanese amberjack,Japan-FAJ-JPN,Japanese amberjack Japan,Japan,Japan,61,JPN,ce1515d3-68ad-3f6c-9c9e-ed8cd46742c3,0,NA,Current
JANCHOPJPN, 161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-PJPN,Japanese anchovy Pacific Coast of Japan,Japan,Japan,61,JPN,8877c2ba-2168-3a48-94e7-bef5a985c759,0,,Current
JANCHOSETO, 161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-SETO,Japanese anchovy Inland Sea of Japan,Japan,Japan,61,JPN,e7bf0132-b216-35ac-9e72-bf01367b2aa5,0,,Current
JANCHOTSST, 161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-TSST,Japanese anchovy Tsushima Strait,Japan,Japan,61,JPN,db499b14-66a5-3d79-94ec-b15c4af46c58,0,,Current
JCSQUIDJPNAR, 557230,Todarodes pacificus,Japanese flying squid,Japan-FAJ-JPNAR,Japanese flying squid Japan Autumn recruitment,Japan,Japan,61,JPN,3cbb402f-774a-3f87-ae56-20d148538231,0,NA,Current
JCSQUIDJPNWR, 557230,Todarodes pacificus,Japanese flying squid,Japan-FAJ-JPNWR,Japanese flying squid Japan Winter recruitment,Japan,Japan,61,JPN,c83b5bca-f1f1-3d18-ae30-5857ce06cbf3,0,NA,Current
JMACKPJPN, 642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAJ-PJPN,Japanese jack mackerel Pacific Coast of Japan,Japan,Japan,61,JPN,a08ee2f8-c2a3-328f-b7df-087e4d14ad1f,0,NA,Current
JMACKTSST, 642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAJ-TSST,Japanese jack mackerel Tsushima Strait,Japan,Japan,61,JPN,df7b9777-31ed-3a9a-b137-44df9b1586d9,0,,Current
JPUFFIMKB, 646410,Takifugu rubripes,Japanese pufferfish,Japan-FAJ-IMKB,Japanese pufferfish Ise and Mikawa Bay,Japan,Japan,61,JPN,49f970b5-7374-3887-95cf-29d786171b30,0,NA,Current
JPUFFSOJECSSI, 646410,Takifugu rubripes,Japanese pufferfish,Japan-FAJ-SOJECSSI,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea,Japan,Japan,61,JPN,fa21b6b7-8353-3d58-90a5-de425a828049,0,NA,Current
JSNAPOKWI, 643076,Paracaesio caerulea,Japanese snapper,Japan-FAJ-OKWI,Japanese snapper Okinawa Islands,Japan,Japan,61,JPN,7aa3dfd5-948d-3a69-800d-eac94a210fe3,0,NA,Current
KCROCKNPAC, 166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-NPAC,Kichiji rockfish North Pacific,Japan,Japan,61,JPN,791de397-952a-3bbf-b6d5-b9af94707438,0,NA,Current
KCROCKOKS, 166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-OKS,Kichiji rockfish Okhotsk Sea,Japan,Japan,61,JPN,ca6e4aec-b35f-36a2-bea5-d28f716142cc,0,NA,Current
