stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
ALBASATL, 172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Atlantic Ocean,Taiwan,47,TWN,ebef3f5d-e25e-3ffe-b0a2-346768c548bf,0,,Current
ALBASPAC, 172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Pacific Ocean,Taiwan,81,TWN,,1,ALBASPAC,Current
ALPLAICBSAI, 172901,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,,0,NA,Current
ALSKABSAI, 160939,Bathyraja parmifera,Alaska skate,USA-NMFS-BSAI,Alaska skate Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,64df2066-e8a8-3d4a-98de-2c4638c67b52,0,NA,Current
AMPL23K, 172877,Hippoglossoides platessoides,American plaice,Canada-DFO-23K,American plaice Labrador - NE Newfoundland,Canada East Coast,Canada,21,CAN,,0,NA,Current
AMPL3LNO, 172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3LNO,American plaice Grand Banks,Canada East Coast,Canada,21,CAN,3a743161-1597-39a7-8eba-5a239c5e589e,1,AMPL3LNO,Current
AMPL3M, 172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3M,American plaice Flemish Cap,Canada East Coast,Spain,21,ESP,3f7a35e5-4a9f-370c-98b8-9c093a078912,1,AMPL3M,Current
AMPL3Ps, 172877,Hippoglossoides platessoides,American plaice,Canada-DFO-3Ps,American plaice St. Pierre Bank,Canada East Coast,Canada,21,CAN,,1,AMPL3Ps,Current
AMPL4T, 172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4T,American plaice Southern Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,,0,,Current
AMPL4VWX, 172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4VWX,American plaice Scotian Shelf and Bay of Fundy,Canada East Coast,Canada,21,CAN,,0,NA,Current
AMPL5YZ, 172877,Hippoglossoides platessoides,American plaice,USA-NMFS-5YZ,American plaice Gulf of Maine / Georges Bank,US East Coast,USA,21,USA,f6342402-b5fb-3457-9b49-c0a018f2ce72,1,AMPL5YZ,Current
ANCHIXa, 161831,Engraulis encrasicolus,Anchovy,multinational-ICES-IXa,Anchovy Portugese Waters -East,European Union,Spain,27,ESP,56bf2447-95a1-367a-bfd8-e9795053b440,0,NA,Current
ANCHMEDGSA1, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA1,Anchovy Northern Alboran Sea,Mediterranean-Black Sea,Spain,37,ESP,834d0773-23ed-3d34-bbde-253a3ef5eaa6,0,NA,Current
ANCHMEDGSA16, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA16,Anchovy South of Sicily,Mediterranean-Black Sea,Italy,37,ITA,3e7204ae-0434-362f-b584-e7ec5bf8c8d3,0,NA,Current
ANCHMEDGSA17, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17,Anchovy Northern Adriatic Sea,Mediterranean-Black Sea,Italy,37,ITA,4675246f-dc5d-335e-a134-92afccd070b4,0,,Deprecated
ANCHMEDGSA17-18, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17-18,"Anchovy Adriatic Sea (GSA 17,18)",Mediterranean-Black Sea,Italy,37,ITA,53f7ce3e-2bde-3d62-9177-22a43ff07b5f,0,NA,Current
ANCHMEDGSA19, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA19,Anchovy Western Ionian Sea,Mediterranean-Black Sea,Italy,37,ITA,1653070f-61dc-3b29-a408-65471f1813ae,0,NA,Current
ANCHMEDGSA20, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA20,Anchovy Eastern Ionian Sea,Mediterranean-Black Sea,Greece,37,GRC,0a293de5-44ae-34d1-979a-a3304bffebcb,0,NA,Current
ANCHMEDGSA22, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA22,Anchovy Aegean Sea,Mediterranean-Black Sea,Greece,37,GRC,241347aa-9e1f-3bb4-bea9-7a29d850ae8c,0,NA,Current
ANCHMEDGSA29, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA29,Anchovy Black Sea,Mediterranean-Black Sea,Turkey,37,TUR,,0,NA,Current
ANCHMEDGSA6, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA6,Anchovy Northern Spain,Mediterranean-Black Sea,Spain,37,ESP,f9c157e9-d24d-3dca-952c-0742b63d622b,0,NA,Current
ANCHMEDGSA7, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA7,Anchovy Gulf of Lions,Mediterranean-Black Sea,France,37,FRA,a965318a-4b29-3b6f-b9a6-4ed6a676c779,0,NA,Current
ANCHMEDGSA9, 161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA9,Anchovy Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,83f9b112-20f3-3e55-a5fc-78f6f98f6a91,0,NA,Current
ANCHOBAYB, 161831,Engraulis encrasicolus,Anchovy,multinational-ICES-VIII,Anchovy Bay of Biscay,European Union,Spain,27,ESP,dcc783b5-ffea-3ede-b1b2-8b65f8ac3c0a,1,ANCHOBAYB,Current
ANCHOCWACIV-BEN, 161831,Engraulis encrasicolus,Anchovy,multinational-FAO-CWACIV-BEN,Anchovy Central West Africa Cote Divoire-Benin,West Africa,Ghana,34,GHA,,0,NA,Current
ANCHOCWAGAB-AGO, 161831,Engraulis encrasicolus,Anchovy,multinational-FAO-CWAGAB-AGO,Anchovy Central West Africa Gabon-Angola,West Africa,Congo,34,COG,,0,NA,Current
ANCHONWA, 161831,Engraulis encrasicolus,Anchovy,multinational-FAO-NWA,Anchovy North West Africa,West Africa,Mauritania,34,MRT,,0,NA,Current
ANCHOSA, 161831,Engraulis encrasicolus,Anchovy,South Africa-DETMCM-SA,Anchovy South Africa,Southern Africa,South Africa,47,ZAF,d5bf3ad9-70ce-3cff-8f8e-c0e5b69027d1,1,SAANCH,Current
ANCHOVYKILKACS, 551220,Clupeonella engrauliformis,Anchovy kilka,Iran-Iran-CS,Anchovy kilka Iranian Caspian Sea,Other,Iran, 4,IRN,1c4ff2e9-01dd-36bf-91c6-86e87a27b7cf,0,NULL,Current
ANGLMEDGSA15-16, 164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA15-16,"Black bellied angler Malta Island and South of Sicily (GSA 15, 16)",Mediterranean-Black Sea,Italy,37,ITA,c680377c-5dfd-3dab-8243-cdf5e8b58efc,0,NA,Current
ANGLMEDGSA5, 164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA5,Black bellied angler Balearic Island,Mediterranean-Black Sea,Spain,37,ESP,41f46365-4e58-3c22-9f30-9f3a08d74b27,0,NA,Current
ANGLMEDGSA6, 164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA6,Black bellied angler Northern Spain,Mediterranean-Black Sea,Spain,37,ESP,5ede4300-5f6c-30a9-98f0-019c723b7524,0,NA,Current
ANGLMEDGSA7, 164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA7,Black bellied angler Gulf of Lions,Mediterranean-Black Sea,France,37,FRA,6b052414-727f-36b5-aa64-b3e604cd32fd,0,NA,Current
ANGLVIIIc-IXa, 164502,Lophius budegassa,Black bellied angler,multinational-ICES-VIIIc-IXa,Black bellied angler ICES 8c-9a,European Union,Portugal,27,PRT,,0,NA,Current
ANGLVII-VIIIabd, 164502,Lophius budegassa,Black bellied angler,multinational-ICES-VII-VIIIabd,Black bellied angler ICES 7-8abd,European Union,Spain,27,ESP,,0,NA,Current
APOLLNEMS, 164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NEMS,Walleye pollock Nemuro Strait,Japan,Japan,61,JPN,6e028931-f03b-3d76-bec5-45917b4558e7,0,NA,Current
APOLLNSJ, 164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NSJ,Walleye pollock Sea of Japan North,Japan,Japan,61,JPN,b5d40fdf-7e8e-3c66-a854-eadb88780bb6,0,NA,Current
APOLLOKS, 164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-OKS,Walleye pollock Okhotsk Sea,Japan,Japan,61,JPN,7669e558-7a15-34b5-9bbc-e6a18a0cacd6,0,NA,Current
APOLLPJPN, 164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-PJPN,Walleye pollock Pacific Coast of Japan,Japan,Japan,61,JPN,b79d5c28-8d8c-355e-b0e9-30b39228f590,0,NA,Current
APSHRIMPSOJ, 621110,Pandalus eous,Alaskan pink shrimp,Japan-FAJ-SOJ,Alaskan pink shrimp Sea of Japan,Japan,Japan,61,JPN,1c5f91e4-31ed-34cb-a78b-0f28b17f6fde,0,NA,Current
ARCSURF4RST,  80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-Q4RST,Arctic surfclam Quebec and Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,,0,NA,Current
ARCSURFBANQ,  80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-BANQ,Arctic surfclam Banquereau,Canada East Coast,Canada,21,CAN,,0,NA,Current
ARCSURFGB,  80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-3LNO,Arctic surfclam Division 3LNO,Canada East Coast,Canada,21,CAN,98bd8b6d-8cf4-3a74-88e9-ac0c668197e5,0,,Current
ARCSURFQCW,  80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-QCW,Arctic surfclam Quebec Coastal Waters,Canada East Coast,Canada,21,CAN,4d0ef2f3-3504-314c-a0a9-45444784635d,0,NA,Current
ARFLOUNDBSAI, 616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-BSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,efa1f187-1800-3600-b22d-fe2034cb3cce,0,NA,Current
ARFLOUNDGA, 616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-GA,Arrowtooth flounder Gulf of Alaska,US Alaska,USA,67,USA,721c75c9-18e8-3bfe-962b-058bb866bfe6,0,NA,Current
ARFLOUNDPCOAST, 616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-PCOAST,Arrowtooth flounder Pacific Coast,US West Coast,USA,67,USA,f25ed3d6-77c2-34d5-bd21-d10113c0896e,0,NA,Current
ARGANCHONARG, 551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-N,Argentine anchoita Northern Argentina,South America,Argentina,41,ARG,5d5ebb0a-a973-3d8b-8c17-e36f25c9f3d8,0,NA,Current
ARGANCHOSARG, 551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-S,Argentine anchoita Southern Argentina,South America,Argentina,41,ARG,4cb84771-3dd8-3061-b379-094346319e6a,0,NA,Current
ARGHAKENARG, 164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-N,Argentine hake Northern Argentina,South America,Argentina,41,ARG,,0,NA,Current
ARGHAKESARG, 164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-S,Argentine hake Southern Argentina,South America,Argentina,41,ARG,,0,NA,Current
ARGREENNEMS, 644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NEMS,Arabesque greenling Nemuro Strait,Japan,Japan,61,JPN,a4a28254-0d00-342d-85d5-9cee8ad75ef7,0,NA,Current
ARGREENNHOKK, 644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NHOKK,Arabesque greenling North coast of Hokkaido,Japan,Japan,61,JPN,77914c52-799e-3f56-81ec-e57ce3bdb4b2,0,NA,Current
ARGREENSHOKK, 644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-SHOKK,Arabesque greenling South coast of Hokkaido,Japan,Japan,61,JPN,b4653741-dcdb-3d5a-9664-1e9b3c39669e,0,NA,Current
ASCADECS, 168736,Decapterus muroadsi,Amberstripe scad,Japan-FAJ-ECS,Amberstripe scad East China Sea,Japan,Japan,61,JPN,c2fa4ebd-9ed3-3454-841d-ba65d90fddcd,0,NA,Current
ASHARNEATL, 160788,Squatina squatina,Angel shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Angel shark Northeast Atlantic,European Union,France,27,FRA,a9ea3b7a-f115-3f8c-b4bd-bfc772298ab2,0,NA,Current
ATBTUNAEATL, 172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic bluefin tuna Eastern Atlantic,Atlantic Ocean,Spain,27,ESP,d9324d33-3823-36b7-a264-eaa6cebe2ec7,1,BTUNAEA,Current
ATBTUNAWATL, 172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-WATL,Atlantic bluefin tuna Western Atlantic,Atlantic Ocean,USA,21,USA,d836d59e-4862-3499-99ee-22015e22391e,1,BTUNAWA,Current
ATHAL3NOPs4VWX5Zc, 172933,Hippoglossus hippoglossus,Atlantic halibut,Canada-DFO-3NOPs4VWX5Zc,Atlantic halibut Scotian Shelf and Southern Grand Banks,Canada East Coast,Canada,21,CAN,,0,NA,Current
