"","stock_name","ricker_a","ricker_b","ricker_AICc","bevholt_a","bevholt_b","bevholt_AICc","min_model","rel_likelihood"
"1","ALSKABSAI",524.808426547116,6.59283605599346e-06,-94.8939835840241,5959053.81578195,0.220106575691007,-92.2203528528489,"ricker",0.791965741641113
"2","ARFLOUNDGA",3473.75856040214,1.42576861298106e-06,-117.31297503288,12090.6759073849,1.3340447023282e-05,-110.757509274945,"ricker",0.963656967430095
"3","ATBTUNAEATL",48.0120351611445,6.80038951033308e-06,-59.3412888140599,4534874.24216526,2.08818005721318,-54.7458033769013,"ricker",0.908689919292536
"4","ATKABSAI",12.40373793883,7.95491232210274e-06,-50.5171195437926,1559156.16681551,3.10834593977841,-47.9237311181908,"ricker",0.78527809877211
"5","BGRDRNSWWA",3466796907.46401,5.72374803436497e-05,22.4953188137477,16588740725273.6,1.5823137375203,25.8090825039248,"ricker",0.839818983657156
"6","BIGEYEEPAC",0.186034701424627,1.04923481078261e-05,-110.743996313451,42.1144966740405,0.00757331658006555,-97.827386696018,"ricker",0.998435002468232
"7","BSBASSMATLC",8804.81099861335,0.000125799479237419,-99.0508970373508,97527006.7489872,4.08726505933572,-95.0161123677372,"ricker",0.882611101651928
"8","BSQLOBSTERNCH",329958.288547489,0.000574030392327583,-55.5168134457568,18422708386.7423,101.656483015364,-49.4168924679287,"ricker",0.954780820679732
"9","CALSCORPSCAL",13911.002367588,0.00140136660095081,-68.5723156210676,177490303.489915,58.9160751877275,-66.348269531514,"ricker",0.75250607711376
"10","CODFAPL",680.910493658153,1.58161380564032e-05,-39.8969768144306,910.802098584939,4.31456400110685e-05,-37.3995381464438,"ricker",0.777078093032529
"11","CODNEAR",2.74413716658164,1.1853461159545e-06,-62.4375631057149,5.56883475762319,7.05958673445558e-06,-58.7099693872587,"ricker",0.865738889401254
"12","GHAL23KLMNO",31333.0365669831,8.60933276838768e-05,-95.1942682205989,54455.4154526099,0.000354116658371746,-78.3439387508425,"ricker",0.999780768868574
"13","GHALNEAR",8690.59914770902,9.67685242265075e-06,42.8948446743735,43751824.1114783,3.08539077665654,46.1962901994184,"ricker",0.83898870991775
"14","GOPHERSPCOAST",8.28949253550996,0.000898473278503618,-44.6791754901714,953997.629483207,315.498068605154,-42.019566476933,"ricker",0.790808296050967
"15","GSTRGZRSTA7",1288.37724350397,0.000337995815787412,-49.3610395194743,126811244.19565,121.928500133804,-34.1533894329199,"ricker",0.999501707577696
"16","HAD4X5Y",6016.94752823268,6.73141844392259e-05,-16.3669776250027,432917543.184137,21.2508080444813,-11.3258284166807,"ricker",0.925571648290014
"17","HADFAPL",1574.61969303848,2.75928464003963e-05,7.39304131098129,1994.99596989448,8.17666332976948e-05,12.3202684377971,"ricker",0.921551301859548
"18","HADVIIb.k",45494.1460876557,5.0626306606041e-05,-10.5323296437285,3696707888.16937,14.590513350429,-4.89821346334824,"ricker",0.94359068068402
"19","HERR4RFA",8140.17208111803,3.70481420480775e-05,-15.4547028154142,572475597.664821,10.7815972332928,-7.85934944654222,"ricker",0.978068949072591
"20","HERRPRD",18669.7878066113,3.33903519448121e-05,-50.2865356362272,45287.439541778,0.00020666555559882,-46.0470716607885,"ricker",0.892806282574224
"21","JPUFFIMKB",14711.9036181428,0.0249001243975911,-5.79383420339805,4100593577.59133,24733.3142226938,-0.293243766050033,"ricker",0.939930020502897
"22","KELPGREENLINGORECOAST",24376.8424543272,0.00553936064105757,-51.5508951767851,397138597.906679,325.263641646144,-46.7038772727744,"ricker",0.918602501390067
"23","KMACKGM",0.0110626004218934,7.82125035204352e-10,-64.2410927786473,945.021696237407,0.000210239175031975,-61.0075269720036,"ricker",0.834350974859009
"24","LINGVa",467.068704474093,4.06454228464394e-05,-51.7260063187595,695.365363769485,0.000123546959376824,-48.7516954893802,"ricker",0.81565093195905
"25","LOBSTERGB",26029.5910652783,0.00251516589672708,-51.9983176848948,2549781189.70331,983.415493932762,-45.3735644567189,"ricker",0.964850969381663
"26","NPOUTIIIa.IV",1023.16009790031,1.0201113823683e-05,-22.2459645128083,2051.10248408614,5.09698497866466e-05,-18.5557744527241,"ricker",0.863550174084785
"27","NROCKGA",2982.30640448959,4.61738826830987e-05,-26.3355521724191,373236158.625946,26.4524767458741,-13.5291239583753,"ricker",0.998346513123569
"28","NSHRIMPNCH",1451152.84605675,0.000596924859862311,-111.526731118329,31493906755.577,49.4539337954785,-74.2013973873868,"ricker",0.999999992149329
"29","NZLINGLIN5.6",3822.31987039028,1.09196203388272e-05,-42.1559434160607,13229780.1157961,0.266760516930785,-39.4592352682446,"ricker",0.793860409153796
"30","NZLINGWSE",3573.38077515966,0.0003632941464596,-47.6501101319429,25223974.7022118,11.9206717424446,-44.8807717384274,"ricker",0.799739846921856
"31","OFLOUNECS",10426.5307180557,0.00105156436157236,-74.3370039232264,82109454.0226487,37.3603134387896,-64.1720053970214,"ricker",0.993833873773768
"32","PCEELCSCH",2.06815733632995,0.000161394394058869,-67.2645002505871,5.699979083227,0.00110575561732642,-58.0828838102784,"ricker",0.989957224557842
"33","PCEELSCH",0.725645918462497,0.000100259549867052,-67.1407933395212,0.713985601778204,0.000122781865761582,-63.9969590900709,"ricker",0.828056737833932
"34","POLLFAPL",1.07044864339003,1.53228098284026e-05,-76.0995699217337,65.9459837294725,0.00286340977642807,-70.4270686751908,"ricker",0.94460359290291
"35","PSALMAKPSWUD",7.32797628311243,1.06960357142016e-06,-15.3086271746999,9.73591947113331,2.99666530382296e-06,-12.9967648478346,"ricker",0.760592600073388
"36","REXSOLEGA",32197.3206633224,7.55152638532307e-05,-64.3382482319679,401050158.090298,5.74887018650414,-45.4232426310268,"ricker",0.999921904716917
"37","RKCRABNS",0.28444266728684,1.4244440685814e-07,-78.1074687662163,33.4726779726441,5.11071255152355e-05,-75.7761072406825,"ricker",0.762363406142356
"38","RMULLMEDGSA29",411747.810093906,0.000258162285331749,-30.8308879898593,1469474.28437936,0.00248024901906331,-26.4428292557768,"ricker",0.899712063311112
"39","RROCKLOBSTERSAUSSZ",2.43798954626142e-05,3.44415974929869e-12,-81.2306389404354,10.6005590541769,4.79966767327899e-06,-76.2967394539387,"ricker",0.921792150366957
"40","RSOLEGA",21570.2110847667,2.53734074433003e-05,-73.3610638071811,172642427.793408,0.871265325641015,-65.0701702781364,"ricker",0.984410521337423
"41","SFLOUNMATLC",5149.33550790633,4.18412420716144e-05,-71.4161205079492,24884.344451072,0.000605262042380407,-67.6354690893844,"ricker",0.868792663264745
