"","stock_name","ricker_a","ricker_b","ricker_AICc","bevholt_a","bevholt_b","bevholt_AICc"
"35","BLUEROCKCAL",0.00736397978380895,1.04938486792706e-09,-29.7319621260662,451.62354832009,0.000234298370184201,-42.3722757049146
"36","BMACKECS",8269.31220184815,8.44630093057918e-06,-65.4726907608812,11388.2251034235,2.19756622553639e-05,-66.2493657984177
"37","BMACKPJPN",12991.2687652007,5.36168799057066e-06,-20.817953028489,29384.0451566493,3.16226631496881e-05,-21.9308120132867
"38","BOCACCSPCOAST",0.00126613225284095,1.01665512766888e-11,-11.0133540637377,0.00126597396823118,1.04318772145951e-11,-11.0122057480854
"39","BRMSOJ",14198.2553509892,8.58484264068517e-05,-77.833852069307,15028.7783284397,0.00012829356278231,-78.2922001320491
"40","BRNSHRIMPGM",2739003.64524487,1.96660538687936e-05,-102.641239812826,3901762.69726456,5.79181146655408e-05,-106.114450888014
"41","BSBASSMATLC",8804.81099861335,0.000125799479237419,-99.0508970373508,97527006.7489872,4.08726505933572,-95.0161123677372
"42","BSBASSSATL",1.8594315154299e-05,1.45800212496273e-13,-84.6038066676038,2.21795038809653e-05,2.88216880555902e-13,-84.9214002042795
"43","BSQLOBSTERNCH",329958.288547489,0.000574030392327583,-55.5168134457568,18422708386.7423,101.656483015364,-49.4168924679287
"44","BUTTERGOMCHATT",0.136042603547282,3.1865408648118e-09,-52.1949840483024,0.147024047771093,4.97320505041577e-09,-52.2484623933561
"45","BWHITNEA",10056.0215168369,2.07066708776447e-07,-18.1939705419332,13026.7779871747,5.13917007880377e-07,-17.2033353627228
"46","CABEZNCAL",2.93139161318914,0.00136536945870148,-86.1145089902024,6.57012425745613,0.00705622530725736,-85.9652017652228
"47","CABEZORECOAST",2582.78185198264,0.0052389671372257,-73.1308941932307,35496054.1871416,213.463576693745,-71.0388359262872
"48","CABEZSCAL",2.95391341602384,0.00590599935163817,-50.0069388435518,6.55278848012818,0.0324223810779089,-52.3042313469151
"49","CALSCORPSCAL",13911.002367588,0.00140136660095081,-68.5723156210676,177490303.489915,58.9160751877275,-66.348269531514
"50","CAPENOR",345509.450760159,8.78111360294937e-07,15.7032863759608,3031810.23437713,3.21849590846608e-05,14.9100116301083
"51","CHERRCHVX",79951.2652943085,8.10986664344859e-07,-5.35708463677226,302779.462046965,1.03803531590222e-05,-8.90702228254229
"52","CHILISPCOAST",0.0123766714383644,1.96917805336315e-10,-1.98934070550965,0.0214017211476149,7.29871386924729e-10,-2.44659873930288
"53","CHTRACCH",5280.74665710071,1.00433939406157e-07,-37.8068287559426,7625.98120507563,3.01253960332126e-07,-39.066319499196
"54","CMACKPCOAST",6398.22053268463,3.69709998554856e-06,-12.0442915562331,10750.0627467635,1.90113131018786e-05,-15.9528396377395
"55","CMACKPJPN",7656.30375953192,6.04766071773154e-08,-11.1945950686438,7667.32336373366,6.52235339468023e-08,-11.19610798832
"56","CMACKTSST",12531.3046481711,2.6669233929913e-06,-110.09992924623,18467.6435322473,8.02617582431699e-06,-108.184903056262
"57","COBGM",1204.76515420659,0.000511814830638396,-49.2850845078083,19986145494920.7,23829725.227172,-50.2600859227232
"58","COD1F.XIV",1225.8488453177,3.27416545045165e-05,46.3995076711969,2430.84314107426,0.000260689601995273,45.716098559308
"59","COD1IN",3316.29077512787,6.76342434768296e-05,-13.4792455140003,6172.08907290527,0.000422217585180615,-12.5782776053366
"60","COD2J3KL",2817.54294090609,1.6236225009707e-06,-18.1441143093168,3895.19851018688,6.52301233343228e-06,-23.6583697994927
"61","COD3M",0.0223080572532698,-0.000126113278969598,49.5938343095291,0.0517620183061265,-2.91285242371893e-05,50.9565219333055
"62","COD3Pn4RS",1.07531907036507,2.91862634028004e-06,-49.3298778029081,1.14476711134859,5.11265802422968e-06,-50.3741780094023
"63","COD3Ps",12.2130926486525,0.581261153797455,-45.7281105410608,67.3146127062131,8.29608973362215,-46.1104513066981
"64","COD4TVn",2.67673088972601e-05,7.78875837593937e-06,-76.4950940689289,12303.7930356669,13105.3899716944,-97.8771851538779
"65","COD5Zjm",134.137565818272,-5.5807763255323e-06,-25.5134423580329,136.575369904971,-4.45655858424237e-06,-25.4671388402222
"66","CODBA2224",1.13060718538726,3.54541040629318e-07,-3.12460870758913,1.13459969876988,5.23396581580285e-07,-3.12475192365374
"67","CODBA2532",40.1810237426039,2.79473329133126e-06,-131.246182617581,57.5419456033151,8.71978429474691e-06,-134.685122939121
"68","CODFAPL",680.910493658153,1.58161380564032e-05,-39.8969768144306,910.802098584939,4.31456400110685e-05,-37.3995381464438
"69","CODGB",356.615678921437,2.27318037120608e-06,-81.8734123080548,360.881462511961,2.76306096409218e-06,-82.0006718506622
"70","CODICE",1203.63230238407,2.17030489747594e-06,-135.24503999829,3795.83583988359,1.90852769888809e-05,-140.908817518824
"71","CODIIIaW.IV.VIId",3510.13159834658,-6.27238726247578e-07,-43.0967152560537,3561.5128712557,-4.94475943782523e-07,-43.0717880963435
"72","CODIS",15364620.7049953,0.621847433839568,14.6330715571267,18273304.2970071,1.29123865885839,14.829962039282
"73","CODKAT",1.32602707629595,0.570307721747734,7.81428161480674,13.5867305332646,20.5504186077552,5.71792903948401
