year,ACADREDGOMGB,ACMACKSARG,AFLONCH,ALBANPAC,ALBASPAC,ALPLAICBSAI,ALSKABSAI,AMPL23K,AMPL3LNO,AMPL3M,AMPL3Ps,AMPL4T,AMPL5YZ,ANCHMEDGSA1,ANCHMEDGSA16,ANCHMEDGSA17-18,ANCHMEDGSA20,ANCHMEDGSA22,ANCHMEDGSA29,ANCHMEDGSA6,ANCHMEDGSA9,ANCHOBAYB,ANCHOSA,ANCHOVYKILKACS,ANGLMEDGSA15-16,ANGLMEDGSA5,ANGLMEDGSA6,ANGLVII-VIIIabd,APOLLNSJ,APOLLPJPN,ARFLOUNDBSAI,ARFLOUNDGA,ARFLOUNDPCOAST,ARGANCHONARG,ARGANCHOSARG,ARGHAKENARG,ARGHAKESARG,ATBTUNAEATL,ATBTUNAWATL,ATHAL3NOPs4VWX5Zc,ATKABSAI,ATLCROAKMATLC,ATOOTHFISHRS,AUROCKPCOAST,AUSSALMONNZ,AWOLF5YZ,BGRDRNSWWA,BGROCKPCOAST,BIGEYECWPAC,BIGEYEEPAC,BIGEYEIO,BIGHTREDSE,BKCDLFENI,BLACKGROUPERGMSATL,BLACKOREOPR,BLACKOREOWECR,BLACKROCKCAL,BLACKROCKORECOAST,BLACKROCKWASH,BLINGVa-XIV,BLINGVb-VI-VII,BLSHARNPAC,BLUEFISHATLC,BLUEROCKCAL,BMACKECS,BMACKPJPN,BMARLINPAC,BNSNZ,BOCACCSPCOAST,BRMSOJ,BRNSHRIMPGM,BSBASSMATLC,BSBASSSATL,BSQLOBSTERCSCH,BSQLOBSTERNCH,BTSHRIMPNAUST,BUTTERGOMCHATT,BWHITMEDGSA1,BWHITMEDGSA6,BWHITMEDGSA9,BWHITNEA,CABEZNCAL,CABEZORECOAST,CABEZSCAL,CALSCORPSCAL,CAPEIIa-V-XIV,CAPENOR,CHAKESA,CHERRCHVX,CHILISPCOAST,CHROCKCPCOAST,CHROCKNPCOAST,CHROCKSPCOAST,CHSQUIDSA,CHTRACCH,CMACKPCOAST,CMACKPJPN,CMACKTSST,COBGM,COD1F-XIV,COD1IN,COD2J3KL,COD3M,COD3Pn4RS,COD3Ps,COD4TVn,COD5Zjm,CODBA2224,CODBA2532,CODFAPL,CODGB,CODGOM,CODICE,CODIIIaW-IV-VIId,CODIS,CODKAT,CODNEAR,CODNEARNCW,CODVIa,CODVIIek,CPANDMEDGSA15-16,CRLOBSTERSA12,CRLOBSTERSA34,CRLOBSTERSA56,CRLOBSTERSA7,CRLOBSTERSA8,CROCKPCOAST,CSALMA10,CSALMA6,CSALMA8,CSALMA9,CSALMAKPSESCD,CSALMAKPSWUD,CSALMANDREAR,CSALMANVIKR,CSALMGOODNEWSR,CSALMGRAYH,CSALMHOODC,CSALMISCFPM,CSALMJDFS,CSALMKADASHANC,CSALMKANEKTOKR,CSALMKOTZEBUES,CSALMKTRNS,CSALMKUSKOKWIM,CSALMMNRSD,CSALMNELSONL,CSALMNSR,CSALMNUSHAGAKD,CSALMSKAGR,CSALMSSOUNDFR,CSALMSSOUNDSR,CSALMSSOUNDWR,CSALMSSR,CSALMTOGD,CSALMUCOOKI,CSALMWILLB,CSALMYUKONRFR,CSARDCSCH,CTRACSA,CUSKVa-XIV,DABIIIa-IV,DEEPCHAKESA,DEEPFLATHEADSE,DKROCKPCOAST,DOYSFS,DSOLEGA,DSOLEPCOAST,DUSROCKGA,EBASSGSA7,EBASSIVbc-VII,EBASSVIIIab,ESOLEHS,ESOLEPCOAST,FLSOLEBSAI,FLSOLEGA,FMEG8c9a,GAGSATLC,GEMFISHNZ,GEMFISHSE,GHAL23KLMNO,GHALBSAI,GHALNEAR,GHBRMGSA7,GKCRABAIES,GKCRABAIWS,GOLDREDNEAR,GOLDREDV-VI-XII-XIV,GOPHERSPCOAST,GRAMBERGM,GRAMBERSATLC,GRNSTROCKPCOAST,GRSHRIMPMEDGSA10,GRSHRIMPMEDGSA11,GRSHRIMPMEDGSA12-16,GRSHRIMPMEDGSA18-19,GRSHRIMPMEDGSA9,GRSNAPGM,GRSPROCKNCAL,GRSPROCKSCAL,GSTRGZRSTA7,GTPRAWNNAUST,GTRIGGM,HAD4X5Y,HAD5Y,HADFAPL,HADGB,HADICE,HADIS,HADNEAR,HADNS-IIIa-VIa,HADROCK,HADVIIb-k,HAKEMEDGSA1-7,HAKEMEDGSA17-18,HAKEMEDGSA19,HAKEMEDGSA22-23,HAKEMEDGSA7,HAKEMEDGSA9-11,HAKENRTN,HAKESOTH,HAKESPPSAF,HERR2224IIIa,HERR2529-32,HERR30-31,HERR4RFA,HERR4RSP,HERR4TFA,HERR4TSP,HERR4VWX,HERRCC,HERRIsum,HERRNIRS,HERRNORSS,HERRNS-IIIa-VIId,HERRNWATLC,HERRPRD,HERRPWS,HERRQCI,HERRRIGA,HERRSIRS,HERRSITKA,HERRSOG,HERRVIa,HERRVIaVIIbc,HERRWCVANI,HMACKIIa-IVa-Vb-VIa-VII-VIII,HMACKIXa,HOKIENZ,HOKIWNZ,JAMBERJPN,JANCHOPJPN,JANCHOSETO,JANCHOTSST,JCSQUIDJPNAR,JCSQUIDJPNWR,JMACKPJPN,JMACKTSST,JPUFFIMKB,JPUFFSOJECSSI,KELPGREENLINGORECOAST,KMACKGM,KMACKSATLC,KMFLOUNBSAI,LINGCODNPCOAST,LINGCODSPCOAST,LINGVa,LNOSESKAPCOAST,LOBSTERGB,LOBSTERGOM,LOBSTERSNE,LSOLEIIIa-IV-VIId,LSTHORNHPCOAST,MACK5YCHATT,MACKNEICES,MACKNWATLSA3-4,MEG8c9a,MEGVII-VIIIabd,MENATGM,MENATLAN,MHMACKMEDGSA29,MONKGOMNGB,MONKSGBMATL,MORWONGESE,MORWONGWSE,MULLQNSW,MUTSNAPSATLCGM,NEPHMEDGSA1,NEPHMEDGSA11,NEPHMEDGSA15-16,NEPHMEDGSA5,NEPHMEDGSA6,NEPHMEDGSA9,NPOUTIIIa-IV,NROCKBSAI,NROCKGA,NRSOLEEBSAI,NRSOLEGA,NSHRIMPCSCH,NSHRIMPNCH,NZLINGESE,NZLINGLIN3-4,NZLINGLIN5-6,NZLINGLIN6b,NZLINGLIN72,NZLINGLIN7WC,NZLINGWSE,NZSNAPNZ1BOP-HAGU,NZSNAPNZ1ENLD,NZSNAPNZ7,NZSNAPNZ8,OFLOUNECS,OFLOUNNSJ,OFLOUNPAC,OFLOUNSETO,OROUGHYCASCADE,OROUGHYNZMEC,OROUGHYSE,PACBTUNA,PANCHCCH,PANCHCSCH,PANCHNCHSP,PANCHPERUNC,PANDALI-II,PANDALIIIaW-IVaE,PANDALSFA4,PANDALSFA5,PANDALSFA6,PATGRENADIERCH,PATGRENADIERSARG,PAUANPAU5A,PAUAPAU5B,PAUAPAU5D,PAUAPAU7,PAUASPAU5A,PCEELARGS,PCEELCSCH,PCEELSCH,PCOD5ABCD,PCODBS,PCODGA,PCODWCVANI,PERCHEBSAI,PERCHQCI,PERCHWCVANI,PHAKEPCOAST,PHFLOUNSOJ,PILCHPJPN,PILCHTSST,PINKSHRIMPGM,PLAIC2123,PLAIC2432,PLAIC7d,PLAICCELT,PLAICECHW,PLAICIS,PLAICNS,PLAICVIIh-k,POLL5YZ,POLLFAPL,POLLIEG,POLLNEAR,POLLNS-VI-IIIa,POPERCHGA,POPERCHPCOAST,PORSHARATL,PRCODMEDGSA9,PSALMA21-27,PSALMAFOGNAKD,PSALMAIALIKL,PSALMAKPNWD,PSALMAKPSESCD,PSALMAKPSWUD,PSALMALITAKD,PSALMAMAKC,PSALMAMURPW,PSALMANADYRPW,PSALMATNARKO,PSALMBARABARA,PSALMBKAMISHAKR,PSALMBRUINR,PSALMCHIGNIKBD,PSALMCHIGNIKCD,PSALMCHIGNIKED,PSALMCHIGNIKWD,PSALMCHINAP,PSALMDOGFISH,PSALMDOSEWHC,PSALMDUCKA,PSALMDUNGENHC,PSALMEKAMPW,PSALMESAKPH,PSALMESAKPW,PSALMESND,PSALMGOLOVIN,PSALMHHAMMAHC,PSALMHOOKC,PSALMHUMPCY,PSALMHUMPYCCISD,PSALMJAMESLOD,PSALMJCPH,PSALMJCPW,PSALMKODIAKMD,PSALMKODIAKWD,PSALMKUSKOKWIM,PSALMLKAMR,PSALMMONTD,PSALMMPNBNS,PSALMNISQPS,PSALMNOME,PSALMNOOKSPS,PSALMOKPH,PSALMOKPW,PSALMPCHATHAM,PSALMPDICK,PSALMPERRYVILLED,PSALMPGRAHAMSD,PSALMPRIMPW,PSALMPUYALLUPPS,PSALMPWSED,PSALMPWSSED,PSALMRESB,PSALMROCKYROD,PSALMSBPCKD,PSALMSELDOVIAB,PSALMSITUKR,PSALMSKAGPS,PSALMSKEENALR,PSALMSNOHPS,PSALMSTILLAPS,PSALMTUTKASD,PSALMUNALAKLEETNS,PSALMWINDYC,PSALMWKAMPH,PSALMWKAMPW,PSANDLIMKB,PSHRMPMEDGSA6,PSOLEPCOAST,PTOOTHFISHCH,PTOOTHFISHMI,PTOOTHFISHPEI,RBRMECS,RBRMSETOE,RBRMSETOW,RDSHRMPMEDGSA1,RDSHRMPMEDGSA6,REDDEEPDP-1-2-V-XII-XIV,REDDEEPI-II,REDFEAUS,REDFISHSPP3M,REXSOLEGA,REYEROCKBSAI,REYEROCKGA,RGROUPGM,RGROUPSATL,RHERRTSST,RKCRABBB,RKCRABNS,RMULLMEDGSA1,RMULLMEDGSA11,RMULLMEDGSA15-16,RMULLMEDGSA17-18,RMULLMEDGSA19,RMULLMEDGSA25,RMULLMEDGSA29,RMULLMEDGSA5,RMULLMEDGSA6,RMULLMEDGSA7,RMULLMEDGSA9,RROCKLOBSTERCRA1,RROCKLOBSTERCRA2,RROCKLOBSTERCRA3,RROCKLOBSTERCRA4,RROCKLOBSTERCRA5,RROCKLOBSTERCRA7,RROCKLOBSTERCRA8,RROCKLOBSTERSAUSNZ,RROCKLOBSTERSAUSSZ,RSFLOUNSOJ,RSHRMPMEDGSA1,RSHRMPMEDGSA12-16,RSHRMPMEDGSA17-19,RSHRMPMEDGSA5,RSHRMPMEDGSA9-11,RSNAPGM,RSNAPSATLC,RSOLE5AB,RSOLEGA,RSOLEHSTR,RSQLOBSTERCSCH,RSQLOBSTERNCH,RSROCKBCWN,RSROCKBCWS,SAABALONESA,SABLEFEBSAIGA,SABLEFPCAN,SABLEFPCOAST,SARDMEDGSA17-18,SARDMEDGSA20,SARDMEDGSA22,SARDMEDGSA6,SARDMEDGSA7,SARDPCOAST,SARDPVIIIc-IXa,SARDSAS,SARDSAW,SARDVIIIabd,SARDWSE,SAURNWPAC,SBARSHARATL,SBELLYROCKPCOAST,SBREAMCH,SBT,SBWHITACIR,SBWHITARGS,SBWHITCH,SCALLGB,SCMPBP,SCMPMB,SCMPWHB,SCUPNWATLC,SDOGATLC,SDOGBLKGSA29,SEELNSSA1,SEELNSSA2,SEELNSSA3,SEELNSSA4,SFLOUNMATLC,SFMAKONPAC,SHAKE4VWX,SILVERFISHSE,SKJCWPAC,SMOOTHOREOBP,SMOOTHOREOCR,SMOOTHOREOEPR,SMOOTHOREOSLD,SMOOTHOREOWECR,SMSHRMPMEDGSA17-18,SMSHRMPMEDGSA9,SMULLMEDGSA15-16,SMULLMEDGSA5,SMULLMEDGSA9,SNAPSAUSNSG,SNAPSAUSSGSV,SNAPSAUSSSG,SNOWCRAB3K,SNOWCRAB3Ps,SNOWCRABBS,SNOWCRABNPAC,SNOWCRABSGSL,SNROCKPCOAST,SOLECS,SOLEIIIa-2224,SOLEIS,SOLENS,SOLEVIId,SOLEVIIe,SOLEVIIh-k,SOLEVIIIab,SOLMEDGSA17,SOLMEDGSA7,SOUTHHAKECH,SOUTHHAKECR,SOUTHHAKESA,SOUTHHAKEWCSI,SPANMACKGM,SPANMACKSETO,SPHAKECH,SPRAT22-32,SPRATIIIa-IV,SPRBLKGSA29,SPSDOGPCOAST,SPURDNEATL,SSALMADAMS,SSALMBARKS,SSALMBEARR,SSALMBIRKENH,SSALMBLACKL,SSALMBOWRON,SSALMBRANCH,SSALMCAYENNE,SSALMCHIGNIKL,SSALMCHILKATL,SSALMCHILKO,SSALMCHILKOOTL,SSALMCHILKOS,SSALMCHILLIW,SSALMCULTUS,SSALMEALSEKDR,SSALMEGEGIK,SSALMEUPPERS,SSALMFENNELL,SSALMGATES,SSALMHARRISON,SSALMHORSEFLY,SSALMIGUSHIK,SSALMKARLUKL,SSALMKLUKSHUR,SSALMKUSKOKWIM,SSALMKVICHAK,SSALMLLAKE,SSALMLSTUART,SSALMLUPPERS,SSALMLWASH,SSALMMITCHELL,SSALMNADINA,SSALMNAHANTLATCH,SSALMNAKNEK,SSALMNASS,SSALMNELSONR,SSALMNUSHAGAK,SSALMNUYAKUK,SSALMOWIKENOL,SSALMPITT,SSALMPORTAGE,SSALMQUIN,SSALMRAFT,SSALMREDOUBTL,SSALMSCOTCH,SSALMSEYMOUR,SSALMSHUSWAP,SSALMSITUKR,SSALMSKEENA,SSALMSTELLAKO,SSALMTASEKO,SSALMTOGIAK,SSALMUCOOKI,SSALMUGASHIK,SSALMWEAVER,SSALMWOOD,SSANDWSJ,SSARDCH,SSLOBSTERSASC,SSTHORNHPCOAST,STFLOUNNPCOAST,STFLOUNSPCOAST,STMARLINNEPAC,STMARLINWCNPAC,STRIPEDBASSGOMCHATT,STRMULLIIIa-IV-VIId,SURFMATLC,SWHITSE,TANNERCRABBSAI,TARAKNZ,TASGIANTCRABTAS,THRSHARNPAC,TIGERFLATSE,TILEGM,TILEMATLC,TILESATLC,TREVALLYTRE7,TSKA3LNOPs,TURBLKGSA29,TURIV,VSNAPGM,VSNAPSATLC,WANGLGSA1-7,WANGLVIIIc-IXa,WANGLVII-VIIIabd,WAREHOUESE,WAREHOUWSE,WHAKE4T,WHAKEGBGOM,WHITMEDGSA29,WHITNS-VIId,WHITVIa,WHITVIIa,WHITVIIbce-k,WINFLOUN4T,WINFLOUN5Z,WINFLOUNSNEMATL,WITFLOUN4RST,WITFLOUN5Y,WLFLOUNNPAC,WMARLINATL,WPOLLAI,WPOLLEBS,WPOLLGA,WROCKBCW,WROCKPCOAST,WSHRIMPGM,YEGROUPGM,YELLCCODGOM,YELLGB,YELLSNEMATL,YEYEROCKPCOAST,YFINEIO,YFINEPAC,YNOSESKACSCH,YNOSESKASCH,YSOLEBSAI,YTROCKNPCOAST
1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
