"","stock_name","min_year","max_year"
"299","RSNAPGM",1970,2016
"300","RSNAPSATLC",1987,2013
"301","RSOLE5AB",1945,2012
"302","RSOLEGA",1977,2015
"303","RSOLEHSTR",1945,2013
"304","RSQLOBSTERCSCH",1968,2014
"305","RSROCKBCWN",1980,2005
"306","RSROCKBCWS",1962,2016
"307","SABLEFEBSAIGA",1960,2016
"308","SABLEFPCAN",1965,2010
"309","SABLEFPCOAST",1965,2015
"310","SARDMEDGSA17.18",1975,2015
"311","SARDPVIIIc.IXa",1978,2018
"312","SARDSAS",1984,2015
"313","SARDSAW",1984,2018
"314","SARDWSE",1992,2017
"315","SBELLYROCKPCOAST",1975,2005
"316","SBT",1931,2016
"317","SBWHITACIR",1980,2011
"318","SBWHITARGS",1987,2017
"319","SBWHITCH",1978,2020
"320","SCMPBP",1987,2008
"321","SCMPMB",1989,2013
"322","SCMPWHB",1985,2011
"323","SCUPNWATLC",1984,2016
"324","SDOGBLKGSA29",1989,2014
"325","SEELNSSA1",1983,2019
"326","SEELNSSA2",1983,2019
"327","SEELNSSA3",1986,2019
"328","SEELNSSA4",1993,2019
"329","SFLOUNMATLC",1982,2015
"330","SILVERFISHSE",1980,2017
"331","SKJCWPAC",1972,2015
"332","SMOOTHOREOCR",1955,2002
"333","SNAPSAUSNSG",1984,2005
"334","SNAPSAUSSGSV",1987,2005
"335","SNAPSAUSSSG",1985,2005
"336","SNOWCRABBS",1982,2016
"337","SNROCKPCOAST",1977,2009
"338","SOLECS",1971,2018
"339","SOLEIIIa.2224",1984,2018
"340","SOLEIS",1970,2017
"341","SOLENS",1957,2018
"342","SOLEVIId",1982,2017
"343","SOLEVIIe",1969,2017
"344","SOLEVIIh.k",1993,2016
"345","SOLEVIIIab",1984,2017
"346","SOUTHHAKECH",1977,2019
"347","SOUTHHAKECR",1985,2011
"348","SOUTHHAKESA",1975,1990
"349","SOUTHHAKEWCSI",1973,2010
"350","SPANMACKGM",1985,2011
"351","SPANMACKSETO",1987,2013
"352","SPHAKECH",1972,2020
"353","SPRAT22.32",1974,2018
"354","SPRATIIIa.IV",1982,2019
"355","SSALMBIRKENH",1948,1996
"356","SSALMBLACKL",1922,1993
"357","SSALMBOWRON",1948,1995
"358","SSALMBRANCH",1956,1998
"359","SSALMCHIGNIKL",1922,1993
"360","SSALMCHILKATL",1976,1997
"361","SSALMCHILKO",1948,1996
"362","SSALMCULTUS",1948,1996
"363","SSALMEALSEKDR",1972,1997
"364","SSALMEGEGIK",1956,1998
"365","SSALMEUPPERS",1969,1993
"366","SSALMHARRISON",1948,1995
"367","SSALMIGUSHIK",1956,1998
"368","SSALMKLUKSHUR",1976,1996
"369","SSALMKVICHAK",1956,1998
"370","SSALMLUPPERS",1970,1993
"371","SSALMLWASH",1967,1993
"372","SSALMNADINA",1950,1995
"373","SSALMNAHANTLATCH",1975,1995
"374","SSALMNAKNEK",1956,1998
"375","SSALMNASS",1967,1991
"376","SSALMNUSHAGAK",1958,1998
"377","SSALMNUYAKUK",1956,1982
"378","SSALMOWIKENOL",1948,1999
"379","SSALMPITT",1948,1996
"380","SSALMQUIN",1975,1999
"381","SSALMRAFT",1948,1996
"382","SSALMSEYMOUR",1948,1996
"383","SSALMSITUKR",1976,1997
"384","SSALMSKEENA",1950,1994
"385","SSALMSTELLAKO",1948,1996
"386","SSALMTOGIAK",1956,1998
"387","SSALMUCOOKI",1968,1992
"388","SSALMUGASHIK",1956,1998
"389","SSALMWEAVER",1948,1996
"390","SSALMWOOD",1956,1998
"391","SSLOBSTERSASC",1973,2006
"392","SSTHORNHPCOAST",1975,2013
"393","STFLOUNNPCOAST",1984,2002
"394","STFLOUNSPCOAST",1978,2005
"395","STMARLINNEPAC",1975,2007
"396","STMARLINWCNPAC",1975,2010
"397","STRIPEDBASSGOMCHATT",1982,2011
"398","SWHITSE",1980,2016
"399","TANNERCRABBSAI",1980,2016
"400","TIGERFLATSE",1940,2015
"401","TILEGM",1965,2009
"402","TILEMATLC",1971,2015
"403","TILESATLC",1990,2007
"404","TREVALLYTRE7",1970,2010
"405","TURBLKGSA29",1950,2014
"406","TURIV",1981,2018
"407","VSNAPGM",1993,2014
"408","VSNAPSATLC",1975,2015
"409","WANGLVIIIc.IXa",1980,2019
"410","WANGLVII.VIIIabd",1986,2019
"411","WAREHOUESE",1986,2008
"412","WAREHOUWSE",1986,2008
"413","WHAKE4T",1978,2011
"414","WHAKEGBGOM",1963,2015
"415","WHITMEDGSA29",1994,2014
"416","WHITNS.VIId",1980,2019
"417","WHITVIa",1981,2017
"418","WHITVIIa",1980,2019
"419","WINFLOUN4T",1973,2011
"420","WINFLOUN5Z",1982,2015
"421","WINFLOUNSNEMATL",1981,2010
"422","WITFLOUN4RST",1987,2016
"423","WITFLOUN5Y",1982,2011
"424","WMARLINATL",1976,2010
"425","WPOLLAI",1978,2018
"426","WPOLLEBS",1964,2017
"427","WPOLLGA",1970,2017
"428","WROCKBCW",1960,2005
"429","WROCKPCOAST",1969,2015
"430","WSHRIMPGM",1984,2017
"431","YEGROUPGM",1975,2009
"432","YELLCCODGOM",1985,2015
"433","YELLGB",1973,2007
"434","YELLSNEMATL",1973,2015
"435","YEYEROCKPCOAST",1889,2001
"436","YFINEIO",1972,2011
"437","YFINEPAC",1975,2016
"438","YSOLEBSAI",1954,2017
"439","YTROCKNPCOAST",1960,2017
