stock_name,regime_length
SSALMBLACKL,17
SSALMBLACKL,17
SSALMBOWRON,8
SSALMBOWRON,29
SSALMBOWRON,11
SSALMBRANCH,6
SSALMBRANCH,6
SSALMBRANCH,6
SSALMBRANCH,25
SSALMCHILKO,38
SSALMCHILKO,11
SSALMCULTUS,8
SSALMCULTUS,17
SSALMCULTUS,24
SSALMEUPPERS,7
SSALMEUPPERS,18
SSALMOWIKENOL,17
SSALMOWIKENOL,24
SSALMOWIKENOL,11
SSALMPITT,13
SSALMPITT,16
SSALMPITT,14
SSALMPITT,6
SSALMRAFT,8
SSALMRAFT,6
SSALMRAFT,35
SSALMSKEENA,7
SSALMSKEENA,20
SSALMSKEENA,12
SSALMSKEENA,6
SSALMSTELLAKO,27
SSALMSTELLAKO,22
SSALMTOGIAK,17
SSALMTOGIAK,7
SSALMTOGIAK,6
SSALMTOGIAK,6
SSALMTOGIAK,7
SSALMUGASHIK,6
SSALMUGASHIK,13
SSALMUGASHIK,11
SSALMUGASHIK,6
SSALMUGASHIK,7
SSALMWEAVER,20
SSALMWEAVER,10
SSALMWEAVER,19
SSALMWOOD,18
SSALMWOOD,6
SSALMWOOD,8
SSALMWOOD,11
STRIPEDBASSGOMCHATT,6
STRIPEDBASSGOMCHATT,24
TIGERFLATSE,21
TIGERFLATSE,7
TIGERFLATSE,7
TIGERFLATSE,6
TIGERFLATSE,17
TIGERFLATSE,18
TURBLKGSA29,9
TURBLKGSA29,10
TURBLKGSA29,11
TURBLKGSA29,10
TURBLKGSA29,6
TURBLKGSA29,7
TURBLKGSA29,6
TURBLKGSA29,6
WAREHOUESE,8
WAREHOUESE,15
WMARLINATL,23
WMARLINATL,12
WPOLLAI,13
WPOLLAI,21
WPOLLAI,7
YELLSNEMATL,16
YELLSNEMATL,21
YELLSNEMATL,6
YFINEPAC,8
YFINEPAC,13
YFINEPAC,7
YFINEPAC,8
YFINEPAC,6
