stock_name,regime_length
RROCKLOBSTERSAUSSZ,9
RROCKLOBSTERSAUSSZ,7
RROCKLOBSTERSAUSSZ,6
RROCKLOBSTERSAUSSZ,6
RROCKLOBSTERSAUSSZ,7
RSOLEGA,9
RSOLEGA,10
RSOLEGA,8
RSOLEGA,6
RSOLEGA,6
SFLOUNMATLC,8
SFLOUNMATLC,20
SFLOUNMATLC,6
SNROCKPCOAST,16
SNROCKPCOAST,6
SNROCKPCOAST,11
SOLENS,7
SOLENS,55
SSALMCHIGNIKL,6
SSALMCHIGNIKL,7
SSALMCHIGNIKL,11
SSALMCHIGNIKL,19
SSALMCHIGNIKL,6
SSALMCHIGNIKL,23
SSALMCHILKATL,15
SSALMCHILKATL,7
STFLOUNSPCOAST,9
STFLOUNSPCOAST,7
STFLOUNSPCOAST,12
TANNERCRABBSAI,9
TANNERCRABBSAI,7
TANNERCRABBSAI,21
TILEGM,6
TILEGM,6
TILEGM,6
TILEGM,9
TILEGM,10
TILEGM,8
WITFLOUN4RST,17
WITFLOUN4RST,6
WITFLOUN4RST,7
WITFLOUN5Y,9
WITFLOUN5Y,9
WITFLOUN5Y,12
WPOLLEBS,14
WPOLLEBS,40
ACMACKSARG,6
ACMACKSARG,7
ACMACKSARG,8
ACMACKSARG,8
ALBASPAC,10
ALBASPAC,9
ALBASPAC,8
ALBASPAC,21
ALBASPAC,6
ALPLAICBSAI,10
ALPLAICBSAI,12
ALPLAICBSAI,6
ALPLAICBSAI,6
ALPLAICBSAI,7
ARFLOUNDBSAI,7
ARFLOUNDBSAI,7
ARFLOUNDBSAI,8
ARFLOUNDBSAI,6
ARFLOUNDBSAI,13
ARFLOUNDPCOAST,8
ARFLOUNDPCOAST,9
ARFLOUNDPCOAST,30
ARGANCHONARG,6
ARGANCHONARG,7
ARGANCHONARG,17
ARGANCHOSARG,16
ARGANCHOSARG,6
ARGANCHOSARG,7
ARGHAKESARG,7
ARGHAKESARG,13
ARGHAKESARG,8
ATBTUNAWATL,30
ATBTUNAWATL,6
ATHAL3NOPs4VWX5Zc,10
ATHAL3NOPs4VWX5Zc,6
ATHAL3NOPs4VWX5Zc,6
ATHAL3NOPs4VWX5Zc,12
ATHAL3NOPs4VWX5Zc,10
ATLCROAKMATLC,10
ATLCROAKMATLC,20
AUROCKPCOAST,9
AUROCKPCOAST,15
BIGEYECWPAC,38
BIGEYECWPAC,14
BIGEYEIO,30
BIGEYEIO,8
BIGHTREDSE,6
BIGHTREDSE,6
BIGHTREDSE,8
BIGHTREDSE,6
BIGHTREDSE,14
BIGHTREDSE,6
BLACKROCKWASH,7
BLACKROCKWASH,23
BLACKROCKWASH,25
BLUEROCKCAL,7
BLUEROCKCAL,8
BLUEROCKCAL,6
BLUEROCKCAL,19
BLUEROCKCAL,8
BMACKPJPN,18
BMACKPJPN,6
BWHITNEA,10
BWHITNEA,10
BWHITNEA,14
CABEZNCAL,9
CABEZNCAL,6
CABEZNCAL,18
CABEZNCAL,7
CABEZORECOAST,11
CABEZORECOAST,7
CABEZORECOAST,12
CABEZSCAL,15
CABEZSCAL,9
CABEZSCAL,6
CABEZSCAL,7
CHERRCHVX,9
CHERRCHVX,6
CHERRCHVX,7
CHILISPCOAST,6
CHILISPCOAST,15
CHILISPCOAST,8
CHILISPCOAST,15
CHILISPCOAST,9
COBGM,9
COBGM,8
COBGM,15
COD1F.XIV,13
COD1F.XIV,10
COD1F.XIV,6
COD1F.XIV,8
COD1F.XIV,9
COD1IN,15
COD1IN,6
COD1IN,6
COD1IN,10
COD1IN,6
COD3Ps,7
COD3Ps,6
COD3Ps,7
COD3Ps,13
COD4TVn,8
COD4TVn,6
COD4TVn,9
COD4TVn,8
COD4TVn,11
COD4TVn,6
COD4TVn,10
COD4TVn,9
CODBA2224,21
CODBA2224,13
CODICE,31
CODICE,22
CODICE,11
CODIS,9
CODIS,10
CODIS,6
CODKAT,16
CODKAT,6
CODNEARNCW,6
CODNEARNCW,15
CSALMANDREAR,7
CSALMANDREAR,11
CSALMANDREAR,6
CSALMHOODC,13
CSALMHOODC,13
CSALMKTRNS,11
CSALMKTRNS,6
CSALMKTRNS,14
CSALMSSOUNDSR,6
CSALMSSOUNDSR,10
CSALMSSOUNDSR,9
CSARDCSCH,6
CSARDCSCH,9
CSARDCSCH,15
CTRACSA,8
CTRACSA,6
CTRACSA,6
CTRACSA,9
CTRACSA,6
CUSKVa.XIV,18
CUSKVa.XIV,7
CUSKVa.XIV,10
DEEPCHAKESA,25
DEEPCHAKESA,6
DEEPFLATHEADSE,20
DEEPFLATHEADSE,7
DEEPFLATHEADSE,6
DKROCKPCOAST,18
DKROCKPCOAST,6
DKROCKPCOAST,12
DSOLEGA,6
DSOLEGA,10
DSOLEGA,16
EBASSIVbc.VII,12
EBASSIVbc.VII,11
EBASSIVbc.VII,9
EBASSVIIIab,19
EBASSVIIIab,7
FLSOLEBSAI,6
FLSOLEBSAI,10
FLSOLEBSAI,15
FLSOLEBSAI,11
FLSOLEGA,11
FLSOLEGA,24
GEMFISHNZ,13
GEMFISHNZ,8
GHALBSAI,7
GHALBSAI,6
GHALBSAI,6
GHALBSAI,12
GHALBSAI,8
GHALBSAI,12
GHALBSAI,8
GKCRABAIES,17
GKCRABAIES,6
GKCRABAIWS,7
GKCRABAIWS,6
GKCRABAIWS,8
GKCRABAIWS,11
GOLDREDNEAR,6
GOLDREDNEAR,7
GOLDREDNEAR,9
GOLDREDV.VI.XII.XIV,11
GOLDREDV.VI.XII.XIV,14
GOLDREDV.VI.XII.XIV,8
GOLDREDV.VI.XII.XIV,6
GRNSTROCKPCOAST,20
GRNSTROCKPCOAST,8
GRNSTROCKPCOAST,12
GRSNAPGM,6
GRSNAPGM,6
GRSNAPGM,28
HAD5Y,7
HAD5Y,7
HAD5Y,19
HAD5Y,6
HADGB,7
HADGB,9
HADGB,11
HADGB,7
HADGB,6
HADGB,6
HADGB,6
HADICE,19
HADICE,7
HADICE,13
HADNS.IIIa.VIa,15
HADNS.IIIa.VIa,14
HADNS.IIIa.VIa,19
HADROCK,7
HADROCK,8
HADROCK,6
HADROCK,7
HAKENRTN,7
HAKENRTN,6
HAKENRTN,27
HAKESOTH,22
HAKESOTH,6
HAKESOTH,10
HERR4TFA,16
HERR4TFA,14
HERR4TFA,7
HERRCC,14
HERRCC,6
HERRCC,43
HERRIsum,12
HERRIsum,6
HERRIsum,6
HERRIsum,6
HERRNORSS,19
HERRNORSS,11
HERRPWS,9
HERRPWS,7
HERRPWS,8
HERRQCI,11
HERRQCI,52
HERRWCVANI,9
HERRWCVANI,39
HERRWCVANI,7
HERRWCVANI,8
HMACKIIa.IVa.Vb.VIa.VII.VIII,19
HMACKIIa.IVa.Vb.VIa.VII.VIII,6
HMACKIIa.IVa.Vb.VIa.VII.VIII,6
HMACKIIa.IVa.Vb.VIa.VII.VIII,6
HOKIENZ,27
HOKIENZ,6
HOKIENZ,6
HOKIWNZ,6
HOKIWNZ,7
HOKIWNZ,12
HOKIWNZ,7
HOKIWNZ,6
HOKIWNZ,6
JANCHOSETO,13
JANCHOSETO,6
JANCHOSETO,19
KMACKSATLC,21
KMACKSATLC,6
KMACKSATLC,6
KMFLOUNBSAI,10
KMFLOUNBSAI,17
LSTHORNHPCOAST,7
LSTHORNHPCOAST,10
LSTHORNHPCOAST,6
LSTHORNHPCOAST,6
LSTHORNHPCOAST,9
MEGVII.VIIIabd,26
MEGVII.VIIIabd,9
MENATGM,10
MENATGM,19
MENATGM,12
MENATLAN,14
MENATLAN,12
MENATLAN,7
MENATLAN,20
MORWONGWSE,15
MORWONGWSE,6
MORWONGWSE,6
MUTSNAPSATLCGM,6
MUTSNAPSATLCGM,11
MUTSNAPSATLCGM,8
NRSOLEEBSAI,6
NRSOLEEBSAI,11
NRSOLEEBSAI,8
NRSOLEEBSAI,6
NRSOLEEBSAI,6
NRSOLEEBSAI,6
NRSOLEGA,8
NRSOLEGA,30
NZLINGESE,7
NZLINGESE,7
NZLINGESE,9
NZLINGLIN3.4,7
NZLINGLIN3.4,13
NZLINGLIN3.4,7
NZLINGLIN3.4,11
NZLINGLIN7WC,6
NZLINGLIN7WC,6
NZLINGLIN7WC,6
NZLINGLIN7WC,7
NZLINGLIN7WC,9
NZSNAPNZ8,6
NZSNAPNZ8,6
NZSNAPNZ8,18
PACBTUNA,27
PACBTUNA,8
PACBTUNA,7
PACBTUNA,15
PACBTUNA,8
PANCHNCHSP,16
PANCHNCHSP,18
PANDALIIIaW.IVaE,20
PANDALIIIaW.IVaE,12
PAUAPAU5D,16
PAUAPAU5D,9
PCODGA,14
PCODGA,13
PCODGA,7
PCODGA,7
PERCHEBSAI,11
