stock_name,curve_shape
SSALMSITUKR,monotonic
SSTHORNHPCOAST,monotonic
STMARLINNEPAC,monotonic
STMARLINWCNPAC,monotonic
SWHITSE,monotonic
TILEMATLC,monotonic
TREVALLYTRE7,monotonic
TURIV,monotonic
VSNAPGM,monotonic
VSNAPSATLC,monotonic
WANGLVIIIc.IXa,monotonic
WANGLVII.VIIIabd,monotonic
WAREHOUWSE,monotonic
WHAKE4T,monotonic
WHITNS.VIId,monotonic
WINFLOUN5Z,monotonic
WPOLLGA,monotonic
WROCKBCW,monotonic
WROCKPCOAST,monotonic
YEGROUPGM,monotonic
YELLCCODGOM,monotonic
YELLGB,monotonic
YFINEIO,monotonic
YSOLEBSAI,monotonic
YTROCKNPCOAST,monotonic
