stock_name,regime_length
RSQLOBSTERCSCH,8
RSQLOBSTERCSCH,6
RSQLOBSTERCSCH,7
RSROCKBCWN,20
RSROCKBCWN,6
RSROCKBCWS,29
RSROCKBCWS,8
RSROCKBCWS,18
SABLEFEBSAIGA,23
SABLEFEBSAIGA,34
SABLEFPCAN,46
SARDSAW,12
SARDSAW,7
SARDSAW,16
SARDWSE,7
SARDWSE,19
SBELLYROCKPCOAST,17
SBELLYROCKPCOAST,14
SBWHITACIR,10
SBWHITACIR,22
SBWHITARGS,6
SBWHITARGS,9
SBWHITARGS,6
SBWHITARGS,10
SCMPBP,22
SCMPMB,25
SCMPWHB,27
SEELNSSA1,37
SEELNSSA3,11
SEELNSSA3,23
SEELNSSA4,8
SEELNSSA4,8
SEELNSSA4,11
SKJCWPAC,44
SNAPSAUSNSG,22
SNOWCRABBS,12
SNOWCRABBS,14
SNOWCRABBS,9
SOLECS,48
SOLEIIIa.2224,35
SOLEVIId,36
SOLEVIIh.k,24
SOUTHHAKECH,43
SOUTHHAKEWCSI,38
SPANMACKGM,27
SSALMBIRKENH,19
SSALMBIRKENH,23
SSALMBIRKENH,7
SSALMEALSEKDR,19
SSALMEALSEKDR,7
SSALMIGUSHIK,17
SSALMIGUSHIK,26
SSALMKLUKSHUR,21
SSALMLWASH,18
SSALMLWASH,9
SSALMNAHANTLATCH,21
SSALMNASS,25
SSALMQUIN,25
SSALMSITUKR,22
SSTHORNHPCOAST,39
STMARLINNEPAC,33
STMARLINWCNPAC,36
SWHITSE,37
TILEMATLC,45
TREVALLYTRE7,41
TURIV,38
VSNAPGM,22
VSNAPSATLC,41
WANGLVIIIc.IXa,16
WANGLVIIIc.IXa,24
WANGLVII.VIIIabd,34
WAREHOUWSE,23
WHAKE4T,34
WHITNS.VIId,40
WINFLOUN5Z,19
WINFLOUN5Z,15
WPOLLGA,20
WPOLLGA,21
WPOLLGA,7
WROCKBCW,46
WROCKPCOAST,47
YEGROUPGM,35
YELLCCODGOM,31
YELLGB,8
YELLGB,27
YFINEIO,40
YSOLEBSAI,64
YTROCKNPCOAST,58
ACADREDGOMGB,6
ACADREDGOMGB,9
ACADREDGOMGB,25
AMPL4T,14
AMPL4T,22
ANCHMEDGSA29,27
ANCHOBAYB,14
ANCHOBAYB,8
ANCHOBAYB,11
ANCHOSA,14
ANCHOSA,21
APOLLNSJ,13
APOLLNSJ,8
APOLLNSJ,11
BMACKECS,27
BOCACCSPCOAST,19
BOCACCSPCOAST,30
BOCACCSPCOAST,8
BRNSHRIMPGM,34
BSBASSSATL,38
BUTTERGOMCHATT,28
CAPENOR,12
CAPENOR,23
CHSQUIDSA,12
CHSQUIDSA,30
CHTRACCH,32
CHTRACCH,13
CMACKPCOAST,14
CMACKPCOAST,20
CMACKPJPN,16
CMACKPJPN,26
CMACKPJPN,7
CMACKTSST,46
COD2J3KL,8
COD2J3KL,16
COD2J3KL,9
COD3M,7
COD3M,9
COD3M,7
COD3Pn4RS,14
COD3Pn4RS,29
CODBA2532,74
CODGB,13
CODGB,19
CODVIIek,7
CODVIIek,33
CODVIIek,8
CSALMISCFPM,9
CSALMISCFPM,29
CSALMNSR,9
CSALMNSR,17
CSALMSSR,13
CSALMSSR,13
DOYSFS,32
ESOLEPCOAST,68
FMEG8c9a,30
GTRIGGM,26
GTRIGGM,11
HADNEAR,26
HADNEAR,6
HADNEAR,16
HADNEAR,19
HAKESPPSAF,22
HAKESPPSAF,28
HAKESPPSAF,6
HERR30.31,38
HERR4TSP,20
HERR4TSP,17
HERRNIRS,25
HERRNIRS,14
HERRNS.IIIa.VIId,25
HERRNS.IIIa.VIId,9
HERRNS.IIIa.VIId,39
HERRNWATLC,45
HERRRIGA,12
HERRRIGA,30
HERRSIRS,60
HERRSITKA,27
HERRSOG,34
HERRSOG,29
HERRVIa,18
HERRVIa,27
HERRVIa,12
HERRVIaVIIbc,54
HERRVIaVIIbc,7
JANCHOPJPN,10
JANCHOPJPN,26
JANCHOTSST,42
JMACKTSST,11
JMACKTSST,36
LOBSTERGOM,26
MACK5YCHATT,7
MACK5YCHATT,41
MACKNEICES,40
MACKNWATLSA3.4,41
MACKNWATLSA3.4,9
MEG8c9a,11
MEG8c9a,22
NSHRIMPCSCH,15
NSHRIMPCSCH,23
NSHRIMPCSCH,18
NZSNAPNZ1ENLD,45
NZSNAPNZ7,10
NZSNAPNZ7,22
NZSNAPNZ7,18
PANCHCCH,36
PANCHPERUNC,8
PANCHPERUNC,28
PANCHPERUNC,11
PATGRENADIERCH,15
PATGRENADIERCH,21
PAUAPAU5B,34
PAUAPAU7,31
PILCHPJPN,12
PILCHPJPN,11
PILCHPJPN,14
PILCHPJPN,7
PINKSHRIMPGM,34
PLAIC7d,28
PLAIC7d,11
PLAICVIIh.k,6
PLAICVIIh.k,17
POPERCHGA,13
POPERCHGA,33
PSALMAKPSESCD,12
PSALMAKPSESCD,23
PSALMAMURPW,24
PSALMAMURPW,11
PSALMAMURPW,17
PSALMANADYRPW,37
PSALMANADYRPW,15
PSALMCHIGNIKCD,24
PSALMCHIGNIKCD,10
PSALMCHIGNIKED,7
PSALMCHIGNIKED,7
PSALMCHIGNIKED,10
PSALMCHIGNIKED,10
PSALMEKAMPW,52
PSALMESAKPW,17
PSALMESAKPW,35
PSALMHUMPYCCISD,13
PSALMHUMPYCCISD,12
PSALMHUMPYCCISD,12
PSALMJCPH,15
PSALMJCPH,15
PSALMJCPH,21
PSALMJCPW,6
PSALMJCPW,16
PSALMJCPW,13
PSALMJCPW,16
PSALMMONTD,6
PSALMMONTD,7
PSALMMONTD,13
PSALMOKPW,12
PSALMOKPW,9
PSALMOKPW,16
PSALMOKPW,15
PSALMPDICK,9
PSALMPDICK,6
PSALMPDICK,10
PSALMPDICK,12
PSALMPERRYVILLED,8
PSALMPERRYVILLED,6
PSALMPERRYVILLED,20
PSALMPGRAHAMSD,37
PSALMPRIMPW,39
PSALMPRIMPW,13
PSALMPWSSED,10
PSALMPWSSED,7
PSALMPWSSED,13
PSALMROCKYROD,9
PSALMROCKYROD,6
PSALMROCKYROD,16
PSALMROCKYROD,6
PSALMSELDOVIAB,22
PSALMSELDOVIAB,15
PSALMWINDYC,10
PSALMWINDYC,7
PSALMWINDYC,20
PSOLEPCOAST,56
PTOOTHFISHCH,25
RHERRTSST,43
RSOLE5AB,68
RSOLEHSTR,69
SABLEFPCOAST,37
SABLEFPCOAST,6
SABLEFPCOAST,8
SARDMEDGSA17.18,18
SARDMEDGSA17.18,23
SARDPVIIIc.IXa,28
SARDPVIIIc.IXa,13
SBT,52
SBT,34
SBWHITCH,23
SBWHITCH,20
SCUPNWATLC,33
SEELNSSA2,14
SEELNSSA2,23
SMOOTHOREOCR,33
SMOOTHOREOCR,15
SOLEIS,30
SOLEIS,18
SOLEVIIIab,34
SOUTHHAKECR,27
SPANMACKSETO,7
SPANMACKSETO,7
SPANMACKSETO,13
SPRAT22.32,17
SPRAT22.32,28
SPRATIIIa.IV,38
SSALMBLACKL,22
SSALMBLACKL,16
SSALMBLACKL,34
SSALMBOWRON,24
SSALMBOWRON,24
SSALMBRANCH,18
SSALMBRANCH,25
SSALMCHILKO,38
SSALMCHILKO,11
SSALMCULTUS,21
SSALMCULTUS,28
SSALMEUPPERS,7
SSALMEUPPERS,18
SSALMOWIKENOL,40
SSALMOWIKENOL,6
SSALMOWIKENOL,6
SSALMPITT,29
SSALMPITT,20
SSALMRAFT,25
SSALMRAFT,18
SSALMRAFT,6
SSALMSEYMOUR,34
SSALMSEYMOUR,6
SSALMSEYMOUR,9
SSALMSKEENA,16
SSALMSKEENA,29
SSALMSTELLAKO,49
SSALMTOGIAK,14
SSALMTOGIAK,29
SSALMUGASHIK,11
SSALMUGASHIK,8
SSALMUGASHIK,24
SSALMWEAVER,8
SSALMWEAVER,6
SSALMWEAVER,7
SSALMWEAVER,28
SSALMWOOD,18
SSALMWOOD,25
STRIPEDBASSGOMCHATT,30
TIGERFLATSE,76
TURBLKGSA29,30
TURBLKGSA29,10
TURBLKGSA29,25
WAREHOUESE,8
WAREHOUESE,15
WMARLINATL,35
WPOLLAI,13
WPOLLAI,28
YELLSNEMATL,16
YELLSNEMATL,21
YELLSNEMATL,6
YFINEPAC,42
