stock_name,regime_length
ALSKABSAI,37
ATBTUNAEATL,20
ATBTUNAEATL,25
ATKABSAI,37
AUSSALMONNZ,28
BGRDRNSWWA,22
BGRDRNSWWA,6
BGRDRNSWWA,7
BGRDRNSWWA,8
BIGEYEEPAC,42
BSBASSMATLC,44
BSQLOBSTERCSCH,27
BSQLOBSTERCSCH,7
BSQLOBSTERNCH,26
CALSCORPSCAL,53
CODFAPL,25
CODFAPL,35
DSOLEPCOAST,38
GHALNEAR,11
GHALNEAR,14
GOPHERSPCOAST,25
GSTRGZRSTA7,29
HAD4X5Y,29
HADFAPL,19
HADFAPL,21
HADFAPL,6
HADFAPL,10
HADFAPL,6
HADVIIb.k,27
HERR4RFA,6
HERR4RFA,25
HERRPRD,10
HERRPRD,14
HERRPRD,39
JPUFFIMKB,10
JPUFFIMKB,11
KELPGREENLINGORECOAST,36
KMACKGM,42
LOBSTERGB,26
NROCKGA,35
NROCKGA,9
NSHRIMPNCH,21
NSHRIMPNCH,34
NZLINGLIN5.6,25
NZLINGWSE,23
OFLOUNECS,27
PLAICCELT,20
PLAICIS,38
POLLFAPL,42
PSALMAKPSWUD,22
REDDEEPDP.1.2.V.XII.XIV,23
REXSOLEGA,30
RKCRABNS,42
RROCKLOBSTERSAUSSZ,35
RSOLEGA,39
SFLOUNMATLC,34
SNAPSAUSSSG,15
SNAPSAUSSSG,6
SNROCKPCOAST,21
SNROCKPCOAST,12
SOLENS,62
SSALMCHIGNIKL,72
SSALMCHILKATL,22
STFLOUNSPCOAST,9
STFLOUNSPCOAST,7
STFLOUNSPCOAST,12
TANNERCRABBSAI,9
TANNERCRABBSAI,7
TANNERCRABBSAI,21
TILEGM,45
WITFLOUN4RST,30
WITFLOUN5Y,30
WPOLLEBS,54
ACMACKSARG,29
ALBANPAC,23
ALBASPAC,54
ALPLAICBSAI,41
ARFLOUNDBSAI,7
ARFLOUNDBSAI,34
ARFLOUNDPCOAST,47
ARGANCHONARG,30
ARGANCHOSARG,29
ARGHAKESARG,28
ATBTUNAWATL,36
ATHAL3NOPs4VWX5Zc,44
ATLCROAKMATLC,10
ATLCROAKMATLC,20
AUROCKPCOAST,24
BIGEYECWPAC,52
BIGEYEIO,38
BIGHTREDSE,46
BLACKROCKWASH,55
BLUEFISHATLC,30
BLUEROCKCAL,7
BLUEROCKCAL,41
BMACKPJPN,24
BWHITNEA,10
BWHITNEA,10
BWHITNEA,14
CABEZNCAL,40
CABEZORECOAST,30
CABEZSCAL,37
CHERRCHVX,15
CHERRCHVX,7
CHILISPCOAST,11
CHILISPCOAST,33
CHILISPCOAST,9
COBGM,32
COD1F.XIV,13
COD1F.XIV,10
COD1F.XIV,6
COD1F.XIV,8
COD1F.XIV,9
COD1IN,12
COD1IN,15
COD1IN,10
COD1IN,6
COD3Ps,33
COD4TVn,67
CODBA2224,21
CODBA2224,13
CODICE,64
CODIS,9
CODIS,16
CODKAT,16
CODKAT,6
CODNEARNCW,21
CSALMANDREAR,24
CSALMANVIKR,22
CSALMHOODC,13
CSALMHOODC,13
CSALMKTRNS,18
CSALMKTRNS,13
CSALMSSOUNDFR,26
CSALMSSOUNDSR,6
CSALMSSOUNDSR,10
CSALMSSOUNDSR,9
CSALMSSOUNDWR,25
CSALMWILLB,21
CSALMYUKONRFR,22
CSARDCSCH,15
CSARDCSCH,15
CTRACSA,35
CUSKVa.XIV,35
DEEPCHAKESA,31
DEEPFLATHEADSE,33
DKROCKPCOAST,36
DSOLEGA,32
DUSROCKGA,35
EBASSIVbc.VII,12
EBASSIVbc.VII,11
EBASSIVbc.VII,9
EBASSVIIIab,26
FLSOLEBSAI,42
FLSOLEGA,35
GAGSATLC,35
GEMFISHNZ,11
GEMFISHNZ,10
GHALBSAI,6
GHALBSAI,14
GHALBSAI,11
GHALBSAI,15
GHALBSAI,6
GHALBSAI,7
GKCRABAIES,23
GKCRABAIWS,32
GOLDREDNEAR,6
GOLDREDNEAR,16
GOLDREDV.VI.XII.XIV,39
GRAMBERSATLC,29
GRNSTROCKPCOAST,40
GRSNAPGM,11
GRSNAPGM,29
HAD5Y,7
HAD5Y,7
HAD5Y,19
HAD5Y,6
HADGB,7
HADGB,9
HADGB,11
HADGB,13
HADGB,6
HADGB,6
HADICE,39
HADNS.IIIa.VIa,15
HADNS.IIIa.VIa,14
HADNS.IIIa.VIa,19
HADROCK,15
HADROCK,6
HADROCK,7
HAKENRTN,40
HAKESOTH,38
HERR4RSP,6
HERR4RSP,8
HERR4RSP,6
HERR4RSP,18
HERR4TFA,37
HERRCC,63
HERRIsum,24
HERRIsum,6
HERRNORSS,30
HERRPWS,16
HERRPWS,8
HERRQCI,63
HERRWCVANI,48
HERRWCVANI,15
HMACKIIa.IVa.Vb.VIa.VII.VIII,37
HOKIENZ,39
HOKIWNZ,19
HOKIWNZ,25
JANCHOSETO,38
KMACKSATLC,33
KMFLOUNBSAI,10
KMFLOUNBSAI,17
LSTHORNHPCOAST,38
MEGVII.VIIIabd,35
MENATGM,41
MENATLAN,53
MORWONGWSE,27
MUTSNAPSATLCGM,25
NROCKBSAI,34
NRSOLEEBSAI,31
NRSOLEEBSAI,6
NRSOLEEBSAI,6
NRSOLEGA,38
NZLINGESE,23
NZLINGLIN3.4,38
NZLINGLIN7WC,34
NZSNAPNZ8,30
PACBTUNA,65
PANCHNCHSP,34
PANDALIIIaW.IVaE,32
PATGRENADIERSARG,27
PAUAPAU5D,25
PCODBS,42
PCODGA,41
PERCHEBSAI,14
PERCHEBSAI,37
PERCHQCI,30
PERCHQCI,6
PERCHQCI,9
PERCHQCI,20
PERCHWCVANI,29
PHAKEPCOAST,36
PHAKEPCOAST,6
PHAKEPCOAST,11
PLAIC2123,20
PLAICECHW,38
PLAICNS,62
POLL5YZ,46
POLLIEG,37
POLLNEAR,57
POLLNS.VI.IIIa,50
POPERCHPCOAST,48
PSALMCHIGNIKWD,34
PSALMESAKPH,31
PSALMPWSED,7
PSALMPWSED,23
PSALMTUTKASD,6
PSALMTUTKASD,10
PSALMTUTKASD,15
PSALMTUTKASD,6
PTOOTHFISHMI,28
PTOOTHFISHPEI,11
PTOOTHFISHPEI,15
RBRMSETOW,36
REYEROCKGA,26
RGROUPGM,21
RGROUPSATL,29
RGROUPSATL,10
RKCRABBB,9
RKCRABBB,34
RROCKLOBSTERSAUSNZ,36
RSFLOUNSOJ,21
RSNAPGM,47
RSNAPSATLC,27
RSQLOBSTERCSCH,26
