stock_name,curve_shape
ARFLOUNDGA,dome
BMARLINPAC,dome
CHAKESA,dome
CODNEAR,dome
GHAL23KLMNO,dome
LINGVa,dome
NPOUTIIIa.IV,dome
PCEELCSCH,dome
PCEELSCH,dome
RBRMSETOE,dome
RMULLMEDGSA29,dome
SSALMHARRISON,dome
SSALMNUSHAGAK,dome
WHITVIa,dome
WINFLOUN4T,dome
WSHRIMPGM,dome
AMPL3LNO,monotonic
ARGHAKENARG,monotonic
AWOLF5YZ,monotonic
BLACKROCKCAL,monotonic
BRMSOJ,monotonic
BTSHRIMPNAUST,monotonic
COD5Zjm,monotonic
CODIIIaW.IV.VIId,monotonic
CODVIa,monotonic
CROCKPCOAST,monotonic
CSALMSKAGR,monotonic
GEMFISHSE,monotonic
GRAMBERGM,monotonic
GTPRAWNNAUST,monotonic
HADIS,monotonic
HERR2224IIIa,monotonic
HERR2529.32,monotonic
HMACKIXa,monotonic
JMACKPJPN,monotonic
LINGCODNPCOAST,monotonic
LINGCODSPCOAST,monotonic
LOBSTERSNE,monotonic
MORWONGESE,monotonic
NZLINGLIN72,monotonic
PCEELARGS,monotonic
PILCHTSST,monotonic
REDFEAUS,monotonic
SARDSAS,monotonic
SDOGBLKGSA29,monotonic
SILVERFISHSE,monotonic
SOLEVIIe,monotonic
SPHAKECH,monotonic
SSALMEGEGIK,monotonic
SSALMKVICHAK,monotonic
SSALMLUPPERS,monotonic
SSALMNADINA,monotonic
SSALMNAKNEK,monotonic
SSALMNUYAKUK,monotonic
SSALMUCOOKI,monotonic
SSLOBSTERSASC,monotonic
WHAKEGBGOM,monotonic
WHITMEDGSA29,monotonic
WHITVIIa,monotonic
WINFLOUNSNEMATL,monotonic
YEYEROCKPCOAST,monotonic
