"","stock_name","ricker_a","ricker_b","ricker_sigmaR","ricker_AICc","bevholt_a","bevholt_b","bevholt_sigmaR","bevholt_AICc","min_model","rel_likelihood"
"1","ALSKABSAI",524.803925054372,6.59279010440148e-06,0.274671290153129,16.107467875925,1574984.28345693,0.058170343625685,0.28477922700417,18.7815729335052,"ricker",0.792004812997443
"2","ARFLOUNDGA",3473.74108705408,1.4257625792225e-06,0.277661671435401,19.2293700238396,12090.4553747376,1.33401769924668e-05,0.298168410369927,25.7848357802993,"ricker",0.963656967404262
"3","ATBTUNAEATL",48.0124930661956,6.80042608915359e-06,0.513839806865265,74.3631791813877,101170.429271573,0.0465823831557173,0.540765626980675,78.9604939421976,"ricker",0.908765782752433
"4","ATKABSAI",12.4034794815258,7.95486530297727e-06,0.500345196263437,60.4843320244146,8186.60367380135,0.016315539500251,0.518192246920325,63.0816976060907,"ricker",0.785613215433143
"5","AUSSALMONNZ",1441.53514466575,6.22561194988797e-05,0.262684590892345,11.5990931998479,5830139.96253026,0.795550118584843,0.274080152893844,13.9971862532025,"ricker",0.768355122469936
"6","BGRDRNSWWA",3463964240.96676,5.72292010208634e-05,1.28966015755752,150.524037734712,456596427217.234,0.0435317155343837,1.34044397066454,153.841772296565,"ricker",0.8400858903916
"7","BIGEYEEPAC",0.186033285626503,1.04922957782147e-05,0.265563963399584,14.446840479661,1276.53242687887,0.229768446532169,0.30951318469584,27.3112966781501,"ricker",0.998393722146139
"8","BMARLINPAC",68.7914220943142,2.76184013617098e-05,0.16730059458411,-23.6114813875452,11129.2620125018,0.0128317744354934,0.182702034470172,-16.3905364943784,"ricker",0.97367279382089
"9","BSBASSMATLC",8804.78941425313,0.00012579919314383,0.322260595506344,31.815693885342,27962930.9872368,1.17181609975866,0.337381892989076,35.8513067682357,"ricker",0.882653999923661
"10","BSQLOBSTERCSCH",253067.783481255,0.000200593714822236,0.580164732755886,66.2682301678772,296750285.788682,0.946880824937271,0.67179185573491,76.2395568260202,"ricker",0.993211160853626
"11","BSQLOBSTERNCH",329957.215814437,0.000574028977251289,0.336684255447663,24.267990281508,3400703974.99752,18.7645486925792,0.378595239153486,30.3686270242511,"ricker",0.954796269527356
"12","CALSCORPSCAL",13910.2686636748,0.00140131536103188,0.521222602873278,87.835169197612,17344219.6182356,5.75647813214165,0.532308129078621,90.0608506599389,"ricker",0.752658332138571
"13","CHAKESA",28734.4841514213,8.07945763278976e-06,0.203230036628266,-5.81212128548319,248132132.068999,0.197673867597634,0.215528930571496,-1.58198344402404,"ricker",0.892359193913726
"14","CODFAPL",680.909202587098,1.58161010170363e-05,0.714590307614046,136.375647170258,910.800179967206,4.31455004342786e-05,0.729618181233141,138.873085838151,"ricker",0.777078093024461
"15","CODNEAR",2.7441354589819,1.18534499904607e-06,0.621298237468504,130.86232327739,5.56837429242341,7.05882286401576e-06,0.639093245673179,134.589917050882,"ricker",0.865738892599794
"16","DSOLEPCOAST",5.0706800441992,4.56856414200133e-06,0.222877918434582,0.459220026670842,6154.02570107474,0.0179960678566492,0.238422181750851,5.57261695098648,"ricker",0.928022236429884
"17","GHAL23KLMNO",31332.9905052056,8.60931862644938e-05,0.212305704996637,-1.22007916139181,54455.2546958199,0.000354115239880784,0.278608266264288,15.630250307956,"ricker",0.999780768868529
"18","GHALNEAR",8687.19152294881,9.67622485460985e-06,2.3049041432045,119.841771356937,15760.978527739,0.00110990353075181,2.46228899754847,123.14534669301,"ricker",0.839132512515971
"19","GOPHERSPCOAST",8.4811989058422,0.000918887753637232,0.489304548238684,42.3513211343112,4894.74108772443,1.59227204122614,0.511558451508996,44.5759594286712,"ricker",0.752561219303724
"20","GSTRGZRSTA7",1288.36672188298,0.000337994294211368,0.419959348573983,38.9373954106979,1004700.00338989,0.966289654031859,0.545853687440905,54.1493750362792,"ricker",0.999502784563467
"21","HAD4X5Y",6016.85855662831,6.73137752542399e-05,0.741751636205077,71.9314573017969,4394038.41228508,0.215663499508869,0.809147456888869,76.9743857761862,"ricker",0.925632910819192
"22","HADFAPL",1575.50489966438,2.76028856556286e-05,1.05790720240349,189.341422536338,1993.91903909433,8.17095071349596e-05,1.10079645709359,194.268647028026,"ricker",0.921551206606858
"23","HADVIIb.k",45497.8540950637,5.06261421721963e-05,0.807021520168971,72.0903515384728,13144356.7085269,0.0518778779175357,0.894970587814394,77.7296601419977,"ricker",0.943728710996172
"24","HERR4RFA",8139.99865122466,3.70478872398842e-05,0.768272762474127,78.5194862479963,2603276.92086528,0.0489993954983718,0.868310280038984,86.1187241507001,"ricker",0.978110572191476
"25","HERRPRD",18669.7550544589,3.33902882987563e-05,0.668761651288727,134.499719547704,45288.3495920252,0.000206670477788619,0.691646883457212,138.739183523923,"ricker",0.892806282611569
"26","JPUFFIMKB",14712.9319669506,0.0249010082404905,0.842285952800429,59.8015844618051,2951.8158186551,1.00145509348469e-06,1.30170816907595,78.0817432501467,"ricker",0.999892732695648
"27","KELPGREENLINGORECOAST",24376.5050104626,0.00553931982692208,0.48364701168835,56.6126792153499,3618.7304190728,1.00478059201514e-06,0.619910459253347,74.4820473991886,"ricker",0.999868277855882
"28","KMACKGM",0.0110624648682974,7.82118650908047e-10,0.461952383836394,60.9497440126747,0.00234996745836163,5.31931444589013e-16,0.61079682217384,84.4110135061793,"ricker",0.999991956472203
"29","LINGVa",467.054651442265,4.06458421671794e-05,0.472386847973561,53.5996913758509,695.294985826135,0.000123528609282458,0.492868919296928,56.5740018610391,"ricker",0.81565090608199
"30","LOBSTERGB",26029.4921050343,0.00251516336657347,0.360266749677618,27.7864861113612,627006453.055379,241.82424333544,0.409205485730979,34.4115575396369,"ricker",0.964856364634309
"31","NPOUTIIIa.IV",1023.15728805024,1.02010898414368e-05,0.726593322096278,85.9176098780384,2051.09700714055,5.09695896173168e-05,0.764803977977178,89.6077999381634,"ricker",0.863550174087182
"32","NROCKGA",2982.01559795019,4.61717681995994e-05,0.736336321955144,104.53103893903,3336868.78720068,0.236468284845073,0.85172722401988,117.340859043617,"ricker",0.998349310345279
"33","NSHRIMPNCH",1451201.02093713,0.000596936420198408,0.361252130108457,50.5565076787356,8628131868.33745,13.548224037537,0.507212687397725,87.8829337200368,"ricker",0.999999992153616
"34","NZLINGLIN5.6",3824.46467064617,1.09215733644586e-05,0.42064121053255,34.7909834644585,27734.1143676046,0.000555594960699508,0.444079889848386,37.5037745950969,"ricker",0.795173258102752
